ISO3,Country,SchoolType,Service Type,Year,Coverage,School-age population,ServiceLevel
AFG,Afghanistan,primary,Drinking water,2019,58.15,3693760.106,Basic service
AFG,Afghanistan,secondary,Drinking water,2019,74.06667,4187024.959,Basic service
ALB,Albania,primary,Drinking water,2019,55.84374,89032.22515,Basic service
ALB,Albania,secondary,Drinking water,2019,66.25047,178415.1568,Basic service
AND,Andorra,primary,Drinking water,2019,100,7343,Basic service
AND,Andorra,secondary,Drinking water,2019,100,8000,Basic service
ARE,United Arab Emirates,primary,Drinking water,2019,100,483932,Basic service
ARE,United Arab Emirates,secondary,Drinking water,2019,100,544496,Basic service
ARM,Armenia,secondary,Drinking water,2019,94.93,273323.4053,Basic service
ATG,Antigua and Barbuda,primary,Drinking water,2019,99.19355,9648.55661,Basic service
ATG,Antigua and Barbuda,secondary,Drinking water,2019,100,6970,Basic service
AUS,Australia,primary,Drinking water,2019,100,2270078,Basic service
AUS,Australia,secondary,Drinking water,2019,100,1828813,Basic service
AZE,Azerbaijan,primary,Drinking water,2019,100,490466,Basic service
AZE,Azerbaijan,secondary,Drinking water,2019,100,892424,Basic service
BDI,Burundi,primary,Drinking water,2019,44.52999,828209.7641,Basic service
BDI,Burundi,secondary,Drinking water,2019,52.00391,860578.9052,Basic service
BEL,Belgium,primary,Drinking water,2019,100,802098,Basic service
BEL,Belgium,secondary,Drinking water,2019,100,764858,Basic service
BEN,Benin,primary,Drinking water,2019,44.61415,833690.3445,Basic service
BFA,Burkina Faso,secondary,Drinking water,2019,42.12309,1368523.506,Basic service
BGD,Bangladesh,primary,Drinking water,2019,78.23459,11578665.36,Basic service
BGD,Bangladesh,secondary,Drinking water,2019,93.00136,20137535.86,Basic service
BHR,Bahrain,primary,Drinking water,2019,100,118149,Basic service
BHR,Bahrain,secondary,Drinking water,2019,100,105036,Basic service
BLR,Belarus,primary,Drinking water,2019,100,439718,Basic service
BLR,Belarus,secondary,Drinking water,2019,100,645882,Basic service
BRB,Barbados,primary,Drinking water,2019,100,19828,Basic service
BRB,Barbados,secondary,Drinking water,2019,100,18617,Basic service
BTN,Bhutan,primary,Drinking water,2019,58.29073,52640.02526,Basic service
BTN,Bhutan,secondary,Drinking water,2019,63.08835,52637.13353,Basic service
CAF,Central African Republic,primary,Drinking water,2019,15.95,130419.641,Basic service
CHE,Switzerland,primary,Drinking water,2019,100,492580,Basic service
CHE,Switzerland,secondary,Drinking water,2019,100,592793,Basic service
CMR,Cameroon,primary,Drinking water,2019,34.09698,1418688.258,Basic service
COK,Cook Islands,primary,Drinking water,2019,100,1626,Basic service
COK,Cook Islands,secondary,Drinking water,2019,100,1889,Basic service
CRI,Costa Rica,primary,Drinking water,2019,86.03497,368085.1329,Basic service
CRI,Costa Rica,secondary,Drinking water,2019,75.64865,269876.5493,Basic service
CUB,Cuba,primary,Drinking water,2019,100,729647,Basic service
CUB,Cuba,secondary,Drinking water,2019,100,769386,Basic service
CYM,Cayman Islands,primary,Drinking water,2019,100,6182,Basic service
CYM,Cayman Islands,secondary,Drinking water,2019,100,6735,Basic service
DEU,Germany,primary,Drinking water,2019,100,2923401,Basic service
DEU,Germany,secondary,Drinking water,2019,100,7098011,Basic service
DMA,Dominica,primary,Drinking water,2019,100,6121,Basic service
DMA,Dominica,secondary,Drinking water,2019,100,4812,Basic service
DNK,Denmark,primary,Drinking water,2019,100,460641,Basic service
DNK,Denmark,secondary,Drinking water,2019,100,406488,Basic service
DZA,Algeria,primary,Drinking water,2019,85.3,3589466.65,Basic service
DZA,Algeria,secondary,Drinking water,2019,98.2,4244652.774,Basic service
ECU,Ecuador,primary,Drinking water,2019,87,1637203.41,Basic service
ECU,Ecuador,secondary,Drinking water,2019,95.5,1782807.37,Basic service
ESP,Spain,primary,Drinking water,2019,100,2967048,Basic service
ESP,Spain,secondary,Drinking water,2019,100,2716948,Basic service
EST,Estonia,primary,Drinking water,2019,100,91514,Basic service
EST,Estonia,secondary,Drinking water,2019,100,74420,Basic service
ETH,Ethiopia,primary,Drinking water,2019,14.868,2502908.261,Basic service
ETH,Ethiopia,secondary,Drinking water,2019,22.0248,3411623.68,Basic service
FIN,Finland,primary,Drinking water,2019,100,371416,Basic service
FIN,Finland,secondary,Drinking water,2019,100,354271,Basic service
FRA,France,primary,Drinking water,2019,100,4245645,Basic service
FRA,France,secondary,Drinking water,2019,100,5761170,Basic service
GHA,Ghana,primary,Drinking water,2019,76.38602,3314976.816,Basic service
GHA,Ghana,secondary,Drinking water,2019,79.12117,3493555.701,Basic service
GIB,Gibraltar,primary,Drinking water,2019,100,2681,Basic service
GIB,Gibraltar,secondary,Drinking water,2019,100,1855,Basic service
GIN,Guinea,primary,Drinking water,2019,9.49871,194950.2002,Basic service
GRD,Grenada,primary,Drinking water,2019,100,12533,Basic service
GRD,Grenada,secondary,Drinking water,2019,98.6,7521.208,Basic service
HKG,"China, Hong Kong Special Administrative Region",primary,Drinking water,2019,100,344220,Basic service
HKG,"China, Hong Kong Special Administrative Region",secondary,Drinking water,2019,100,316862,Basic service
HND,Honduras,primary,Drinking water,2019,64.63,780155.193,Basic service
HND,Honduras,secondary,Drinking water,2019,51.54,535494.4152,Basic service
HUN,Hungary,primary,Drinking water,2019,100,381632,Basic service
HUN,Hungary,secondary,Drinking water,2019,100,777827,Basic service
IDN,Indonesia,primary,Drinking water,2019,72.02755,19980289.93,Basic service
IDN,Indonesia,secondary,Drinking water,2019,74.94953,20992477.63,Basic service
IND,India,primary,Drinking water,2019,66.85601,82899101.45,Basic service
IND,India,secondary,Drinking water,2019,75.49179,133947081.8,Basic service
ISR,Israel,primary,Drinking water,2019,100,915685,Basic service
ISR,Israel,secondary,Drinking water,2019,100,807267,Basic service
ITA,Italy,primary,Drinking water,2019,100,2807694,Basic service
ITA,Italy,secondary,Drinking water,2019,100,4585680,Basic service
JAM,Jamaica,primary,Drinking water,2019,93.92449,256934.1994,Basic service
JAM,Jamaica,secondary,Drinking water,2019,95.88538,228174.5957,Basic service
KHM,Cambodia,primary,Drinking water,2019,80.10435,1627401.63,Basic service
KHM,Cambodia,secondary,Drinking water,2019,76.0469,1357081.286,Basic service
KNA,Saint Kitts and Nevis,primary,Drinking water,2019,78.79,3908.7719,Basic service
KNA,Saint Kitts and Nevis,secondary,Drinking water,2019,100,3672,Basic service
KOR,Republic of Korea,primary,Drinking water,2019,100,2730011,Basic service
KOR,Republic of Korea,secondary,Drinking water,2019,100,2937860,Basic service
KWT,Kuwait,primary,Drinking water,2019,100,313976,Basic service
KWT,Kuwait,secondary,Drinking water,2019,100,342532,Basic service
LBN,Lebanon,primary,Drinking water,2019,59.7,389590.857,Basic service
LBN,Lebanon,secondary,Drinking water,2019,60.6,430818.126,Basic service
LBR,Liberia,primary,Drinking water,2019,44.18011,341476.0226,Basic service
LBR,Liberia,secondary,Drinking water,2019,64.81037,437170.5736,Basic service
LCA,Saint Lucia,primary,Drinking water,2019,99.16667,15207.20833,Basic service
LCA,Saint Lucia,secondary,Drinking water,2019,100,12679,Basic service
LKA,Sri Lanka,primary,Drinking water,2019,84.44383,1441067.793,Basic service
LKA,Sri Lanka,secondary,Drinking water,2019,87.81625,2398612.981,Basic service
LVA,Latvia,primary,Drinking water,2019,100,118488,Basic service
LVA,Latvia,secondary,Drinking water,2019,100,51163,Basic service
MAC,"China, Macao Special Administrative Region",primary,Drinking water,2019,100,32099,Basic service
MAC,"China, Macao Special Administrative Region",secondary,Drinking water,2019,100,25755,Basic service
MAR,Morocco,primary,Drinking water,2019,73.99082,2857536.438,Basic service
MAR,Morocco,secondary,Drinking water,2019,90.6,3259490.832,Basic service
MCO,Monaco,primary,Drinking water,2019,100,3709,Basic service
MCO,Monaco,secondary,Drinking water,2019,100,4041,Basic service
MDV,Maldives,primary,Drinking water,2019,100,50361,Basic service
MDV,Maldives,secondary,Drinking water,2019,100,26182,Basic service
MEX,Mexico,secondary,Drinking water,2019,49.04,6610314.434,Basic service
MHL,Marshall Islands,primary,Drinking water,2019,3.19,290.0667,Basic service
MLI,Mali,primary,Drinking water,2019,70.07705,2368689.245,Basic service
MMR,Myanmar,primary,Drinking water,2019,71.87072,3336217.416,Basic service
MMR,Myanmar,secondary,Drinking water,2019,81.6782,4931255.293,Basic service
MNG,Mongolia,primary,Drinking water,2019,72.7,229889.759,Basic service
MNG,Mongolia,secondary,Drinking water,2019,73.4,236381.03,Basic service
MSR,Montserrat,primary,Drinking water,2019,100,415,Basic service
MSR,Montserrat,secondary,Drinking water,2019,100,329,Basic service
MUS,Mauritius,primary,Drinking water,2019,100,86143,Basic service
MUS,Mauritius,secondary,Drinking water,2019,100,125673,Basic service
MWI,Malawi,primary,Drinking water,2019,87.27,2801223.005,Basic service
MWI,Malawi,secondary,Drinking water,2019,81.7,2255183.074,Basic service
MYS,Malaysia,primary,Drinking water,2019,97.13521,2934402.14,Basic service
MYS,Malaysia,secondary,Drinking water,2019,98.90087,3373544.139,Basic service
NER,Niger,primary,Drinking water,2019,16.13193,647737.9252,Basic service
NGA,Nigeria,primary,Drinking water,2019,32.05479,10498609.18,Basic service
NGA,Nigeria,secondary,Drinking water,2019,53.33333,14382354.3,Basic service
NIU,Niue,primary,Drinking water,2019,100,160,Basic service
NIU,Niue,secondary,Drinking water,2019,100,181,Basic service
NLD,Netherlands,primary,Drinking water,2019,100,1102937,Basic service
NLD,Netherlands,secondary,Drinking water,2019,100,1208345,Basic service
NOR,Norway,primary,Drinking water,2019,100,447691,Basic service
NOR,Norway,secondary,Drinking water,2019,100,382478,Basic service
NPL,Nepal,primary,Drinking water,2019,39.01146,1089576.034,Basic service
NPL,Nepal,secondary,Drinking water,2019,76.48106,3303972.782,Basic service
PAK,Pakistan,primary,Drinking water,2019,52.00761,12847739.46,Basic service
PAK,Pakistan,secondary,Drinking water,2019,80.62726,25498079,Basic service
PER,Peru,primary,Drinking water,2019,79.40345,2599588.787,Basic service
PER,Peru,secondary,Drinking water,2019,76.03,1974061.928,Basic service
PHL,Philippines,primary,Drinking water,2019,45.3509,6014479.895,Basic service
PHL,Philippines,secondary,Drinking water,2019,53.96065,5363158.177,Basic service
PNG,Papua New Guinea,primary,Drinking water,2019,45.84034,652068.2701,Basic service
PNG,Papua New Guinea,secondary,Drinking water,2019,65.18519,729444.3852,Basic service
POL,Poland,primary,Drinking water,2019,100,2379791,Basic service
POL,Poland,secondary,Drinking water,2019,100,2112951,Basic service
PRT,Portugal,primary,Drinking water,2019,100,570522,Basic service
PRT,Portugal,secondary,Drinking water,2019,100,627514,Basic service
PRY,Paraguay,primary,Drinking water,2019,66.73418,546366.7458,Basic service
PSE,West Bank and Gaza Strip,primary,Drinking water,2019,80.60837,385718.2814,Basic service
PSE,West Bank and Gaza Strip,secondary,Drinking water,2019,85.90604,781086.9262,Basic service
QAT,Qatar,primary,Drinking water,2019,100,153672,Basic service
QAT,Qatar,secondary,Drinking water,2019,100,93932,Basic service
ROU,Romania,primary,Drinking water,2019,63.52,676134.1936,Basic service
ROU,Romania,secondary,Drinking water,2019,84.71,1387437.983,Basic service
RWA,Rwanda,primary,Drinking water,2019,53.02252,1014510.072,Basic service
RWA,Rwanda,secondary,Drinking water,2019,64.90381,1072142.805,Basic service
SAU,Saudi Arabia,primary,Drinking water,2019,100,3366594,Basic service
SAU,Saudi Arabia,secondary,Drinking water,2019,100,2826033,Basic service
SEN,Senegal,primary,Drinking water,2019,42.4764,1124077.185,Basic service
SEN,Senegal,secondary,Drinking water,2019,78.77214,1958856.689,Basic service
SGP,Singapore,primary,Drinking water,2019,100,234158,Basic service
SGP,Singapore,secondary,Drinking water,2019,100,162711,Basic service
SLB,Solomon Islands,primary,Drinking water,2019,19.56,20090.4672,Basic service
SLB,Solomon Islands,secondary,Drinking water,2019,18.73,18823.65,Basic service
SLE,Sierra Leone,primary,Drinking water,2019,55.02094,677733.0422,Basic service
SLE,Sierra Leone,secondary,Drinking water,2019,71.16302,878519.5317,Basic service
SLV,El Salvador,primary,Drinking water,2019,80.03266,555010.4854,Basic service
SLV,El Salvador,secondary,Drinking water,2019,83.90898,596307.5693,Basic service
SMR,San Marino,primary,Drinking water,2019,100,1583,Basic service
SMR,San Marino,secondary,Drinking water,2019,100,2463,Basic service
SRB,Serbia,primary,Drinking water,2019,63.404,163054.7987,Basic service
SRB,Serbia,secondary,Drinking water,2019,91.48,478977.3876,Basic service
SSD,South Sudan,primary,Drinking water,2019,50.75758,905318.2878,Basic service
SVK,Slovakia,primary,Drinking water,2019,100,229829,Basic service
SVK,Slovakia,secondary,Drinking water,2019,100,485315,Basic service
SVN,Slovenia,primary,Drinking water,2019,100,128676,Basic service
SVN,Slovenia,secondary,Drinking water,2019,100,129746,Basic service
SYC,Seychelles,primary,Drinking water,2019,100,9349,Basic service
SYC,Seychelles,secondary,Drinking water,2019,100,9318,Basic service
SYR,Syrian Arab Republic,primary,Drinking water,2019,49.16201,1066656.358,Basic service
SYR,Syrian Arab Republic,secondary,Drinking water,2019,49.39189,963079.1642,Basic service
TCA,Turks and Caicos Islands,primary,Drinking water,2019,100,3636,Basic service
TCA,Turks and Caicos Islands,secondary,Drinking water,2019,100,3961,Basic service
TCD,Chad,primary,Drinking water,2019,19.33626,535221.7671,Basic service
TGO,Togo,primary,Drinking water,2019,20.20506,257502.9831,Basic service
TLS,Timor-Leste,primary,Drinking water,2019,69.1099,127571.3518,Basic service
TLS,Timor-Leste,secondary,Drinking water,2019,62.09229,115717.0452,Basic service
TUN,Tunisia,primary,Drinking water,2019,69.5,748668.595,Basic service
UGA,Uganda,primary,Drinking water,2019,70.04405,6418318.678,Basic service
URY,Uruguay,primary,Drinking water,2019,100,280462,Basic service
URY,Uruguay,secondary,Drinking water,2019,100,290117,Basic service
USA,United States of America,primary,Drinking water,2019,100,24476828,Basic service
USA,United States of America,secondary,Drinking water,2019,100,25422892,Basic service
UZB,Uzbekistan,primary,Drinking water,2019,90.44566,2217249.126,Basic service
UZB,Uzbekistan,secondary,Drinking water,2019,89.02338,3722022.116,Basic service
VCT,Saint Vincent and the Grenadines,primary,Drinking water,2019,100,11570,Basic service
VCT,Saint Vincent and the Grenadines,secondary,Drinking water,2019,98.76543,8867.1606,Basic service
VEN,Venezuela (Bolivarian Republic of),primary,Drinking water,2019,97.49,3207654.976,Basic service
VGB,British Virgin Islands,primary,Drinking water,2019,100,2342,Basic service
VGB,British Virgin Islands,secondary,Drinking water,2019,84.27697,1835.55245,Basic service
WSM,Samoa,primary,Drinking water,2019,100,29399,Basic service
WSM,Samoa,secondary,Drinking water,2019,100,29342,Basic service
YEM,Yemen,secondary,Drinking water,2019,45.98,1794365.362,Basic service
ZMB,Zambia,primary,Drinking water,2019,78.06883,2722587.875,Basic service
ZMB,Zambia,secondary,Drinking water,2019,94,1997569.56,Basic service
ZWE,Zimbabwe,primary,Drinking water,2019,64.44365,1850705.713,Basic service
ZWE,Zimbabwe,secondary,Drinking water,2019,68.96297,1383303.357,Basic service
AFG,Afghanistan,primary,Drinking water,2019,0,0,Insufficient data
AFG,Afghanistan,secondary,Drinking water,2019,25.93333,1466024.041,Insufficient data
AGO,Angola,primary,Drinking water,2019,18.5,1054271.525,Insufficient data
AGO,Angola,secondary,Drinking water,2019,48.24201,2186688.915,Insufficient data
ALB,Albania,primary,Drinking water,2019,44.15627,70398.77485,Insufficient data
ALB,Albania,secondary,Drinking water,2019,33.74953,90888.84318,Insufficient data
AND,Andorra,primary,Drinking water,2019,0,0,Insufficient data
AND,Andorra,secondary,Drinking water,2019,0,0,Insufficient data
ARE,United Arab Emirates,primary,Drinking water,2019,0,0,Insufficient data
ARE,United Arab Emirates,secondary,Drinking water,2019,0,0,Insufficient data
ARG,Argentina,primary,Drinking water,2019,89.92481,3941667.092,Insufficient data
ARG,Argentina,secondary,Drinking water,2019,100,4268654,Insufficient data
ARM,Armenia,primary,Drinking water,2019,100,168119,Insufficient data
ARM,Armenia,secondary,Drinking water,2019,5.07,14597.5947,Insufficient data
ATG,Antigua and Barbuda,primary,Drinking water,2019,0,0,Insufficient data
ATG,Antigua and Barbuda,secondary,Drinking water,2019,0,0,Insufficient data
AUS,Australia,primary,Drinking water,2019,0,0,Insufficient data
AUS,Australia,secondary,Drinking water,2019,0,0,Insufficient data
AZE,Azerbaijan,primary,Drinking water,2019,0,0,Insufficient data
AZE,Azerbaijan,secondary,Drinking water,2019,0,0,Insufficient data
BDI,Burundi,primary,Drinking water,2019,0,0,Insufficient data
BDI,Burundi,secondary,Drinking water,2019,0,0,Insufficient data
BEL,Belgium,primary,Drinking water,2019,0,0,Insufficient data
BEL,Belgium,secondary,Drinking water,2019,0,0,Insufficient data
BEN,Benin,primary,Drinking water,2019,0,0,Insufficient data
BEN,Benin,secondary,Drinking water,2019,73.08571,1327906.037,Insufficient data
BFA,Burkina Faso,primary,Drinking water,2019,59.18286,2024468.586,Insufficient data
BFA,Burkina Faso,secondary,Drinking water,2019,0,0,Insufficient data
BGD,Bangladesh,primary,Drinking water,2019,0,0,Insufficient data
BGD,Bangladesh,secondary,Drinking water,2019,0,0,Insufficient data
BHR,Bahrain,primary,Drinking water,2019,0,0,Insufficient data
BHR,Bahrain,secondary,Drinking water,2019,0,0,Insufficient data
BLR,Belarus,primary,Drinking water,2019,0,0,Insufficient data
BLR,Belarus,secondary,Drinking water,2019,0,0,Insufficient data
BLZ,Belize,primary,Drinking water,2019,100,45604,Insufficient data
BLZ,Belize,secondary,Drinking water,2019,100,47046,Insufficient data
BMU,Bermuda,primary,Drinking water,2019,100,3716,Insufficient data
BMU,Bermuda,secondary,Drinking water,2019,100,4913,Insufficient data
BOL,Bolivia (Plurinational State of),primary,Drinking water,2019,100,1407263,Insufficient data
BOL,Bolivia (Plurinational State of),secondary,Drinking water,2019,100,1379790,Insufficient data
BRA,Brazil,primary,Drinking water,2019,82.19243,11563485.77,Insufficient data
BRA,Brazil,secondary,Drinking water,2019,93.53829,22047551.75,Insufficient data
BRB,Barbados,primary,Drinking water,2019,0,0,Insufficient data
BRB,Barbados,secondary,Drinking water,2019,0,0,Insufficient data
BRN,Brunei Darussalam,primary,Drinking water,2019,100,39197,Insufficient data
BRN,Brunei Darussalam,secondary,Drinking water,2019,100,46342,Insufficient data
BTN,Bhutan,primary,Drinking water,2019,0,0,Insufficient data
BTN,Bhutan,secondary,Drinking water,2019,0,0,Insufficient data
BWA,Botswana,primary,Drinking water,2019,100,357186,Insufficient data
BWA,Botswana,secondary,Drinking water,2019,100,229743,Insufficient data
CAF,Central African Republic,primary,Drinking water,2019,0,0,Insufficient data
CAF,Central African Republic,secondary,Drinking water,2019,42.29392,355342.096,Insufficient data
CHE,Switzerland,primary,Drinking water,2019,0,0,Insufficient data
CHE,Switzerland,secondary,Drinking water,2019,0,0,Insufficient data
CHL,Chile,primary,Drinking water,2019,96.33009,1461283.146,Insufficient data
CHL,Chile,secondary,Drinking water,2019,100,1482882,Insufficient data
CHN,China,primary,Drinking water,2019,99.40642,101746632.9,Insufficient data
CHN,China,secondary,Drinking water,2019,99.59921,98716676.94,Insufficient data
CIV,Côte d’Ivoire,primary,Drinking water,2019,43.75497,1746391.301,Insufficient data
CIV,Côte d’Ivoire,secondary,Drinking water,2019,86.18227,3514552.465,Insufficient data
CMR,Cameroon,primary,Drinking water,2019,0,0,Insufficient data
CMR,Cameroon,secondary,Drinking water,2019,100,4016393,Insufficient data
COD,Democratic Republic of the Congo,primary,Drinking water,2019,48.67495,7147656.813,Insufficient data
COD,Democratic Republic of the Congo,secondary,Drinking water,2019,43.5,5066463.705,Insufficient data
COG,Congo,primary,Drinking water,2019,39.6,340091.136,Insufficient data
COG,Congo,secondary,Drinking water,2019,68.12597,549126.6886,Insufficient data
COK,Cook Islands,primary,Drinking water,2019,0,0,Insufficient data
COK,Cook Islands,secondary,Drinking water,2019,0,0,Insufficient data
COL,Colombia,primary,Drinking water,2019,73.51029,2749511.254,Insufficient data
COL,Colombia,secondary,Drinking water,2019,100,4869102,Insufficient data
COM,Comoros,primary,Drinking water,2019,10.8295,13811.83601,Insufficient data
COM,Comoros,secondary,Drinking water,2019,12.27,15522.5316,Insufficient data
CPV,Cabo Verde,primary,Drinking water,2019,100,62045,Insufficient data
CPV,Cabo Verde,secondary,Drinking water,2019,100,60249,Insufficient data
CRI,Costa Rica,primary,Drinking water,2019,0,0,Insufficient data
CRI,Costa Rica,secondary,Drinking water,2019,0,0,Insufficient data
CUB,Cuba,primary,Drinking water,2019,0,0,Insufficient data
CUB,Cuba,secondary,Drinking water,2019,0,0,Insufficient data
CYM,Cayman Islands,primary,Drinking water,2019,0,0,Insufficient data
CYM,Cayman Islands,secondary,Drinking water,2019,0,0,Insufficient data
DEU,Germany,primary,Drinking water,2019,0,0,Insufficient data
DEU,Germany,secondary,Drinking water,2019,0,0,Insufficient data
DJI,Djibouti,primary,Drinking water,2019,86.83,79233.2433,Insufficient data
DJI,Djibouti,secondary,Drinking water,2019,75.74737,95465.16589,Insufficient data
DMA,Dominica,primary,Drinking water,2019,0,0,Insufficient data
DMA,Dominica,secondary,Drinking water,2019,0,0,Insufficient data
DNK,Denmark,primary,Drinking water,2019,0,0,Insufficient data
DNK,Denmark,secondary,Drinking water,2019,0,0,Insufficient data
DOM,Dominican Republic,primary,Drinking water,2019,89.84564,1040899.494,Insufficient data
DOM,Dominican Republic,secondary,Drinking water,2019,100,1152781,Insufficient data
DZA,Algeria,primary,Drinking water,2019,0,0,Insufficient data
DZA,Algeria,secondary,Drinking water,2019,0,0,Insufficient data
ECU,Ecuador,primary,Drinking water,2019,0,0,Insufficient data
ECU,Ecuador,secondary,Drinking water,2019,0,0,Insufficient data
EGY,Egypt,primary,Drinking water,2019,100,12466019,Insufficient data
EGY,Egypt,secondary,Drinking water,2019,100,10520481,Insufficient data
ERI,Eritrea,primary,Drinking water,2019,64.59643,327114.3764,Insufficient data
ERI,Eritrea,secondary,Drinking water,2019,80.08214,457998.584,Insufficient data
ESP,Spain,primary,Drinking water,2019,0,0,Insufficient data
ESP,Spain,secondary,Drinking water,2019,0,0,Insufficient data
EST,Estonia,primary,Drinking water,2019,0,0,Insufficient data
EST,Estonia,secondary,Drinking water,2019,0,0,Insufficient data
ETH,Ethiopia,primary,Drinking water,2019,0,0,Insufficient data
ETH,Ethiopia,secondary,Drinking water,2019,0,0,Insufficient data
FIN,Finland,primary,Drinking water,2019,0,0,Insufficient data
FIN,Finland,secondary,Drinking water,2019,0,0,Insufficient data
FJI,Fiji,primary,Drinking water,2019,100,104471,Insufficient data
FJI,Fiji,secondary,Drinking water,2019,100,107856,Insufficient data
FRA,France,primary,Drinking water,2019,0,0,Insufficient data
