ISO3,Country,SchoolType,Service Type,Year,Coverage,School-age population,ServiceLevel
LBR,Liberia,primary,Drinking water,2019,13.41989,103724.7454,Limited service
LBR,Liberia,secondary,Drinking water,2019,10.72837,72366.95492,Limited service
LCA,Saint Lucia,primary,Drinking water,2019,0.83333,127.79167,Limited service
LCA,Saint Lucia,secondary,Drinking water,2019,0,0,Limited service
LVA,Latvia,primary,Drinking water,2019,0,0,Limited service
LVA,Latvia,secondary,Drinking water,2019,0,0,Limited service
MAC,"China, Macao Special Administrative Region",primary,Drinking water,2019,0,0,Limited service
MAC,"China, Macao Special Administrative Region",secondary,Drinking water,2019,0,0,Limited service
MAR,Morocco,primary,Drinking water,2019,9.65918,373039.1092,Limited service
MAR,Morocco,secondary,Drinking water,2019,0,0,Limited service
MCO,Monaco,primary,Drinking water,2019,0,0,Limited service
MCO,Monaco,secondary,Drinking water,2019,0,0,Limited service
MDV,Maldives,primary,Drinking water,2019,0,0,Limited service
MDV,Maldives,secondary,Drinking water,2019,0,0,Limited service
MEX,Mexico,secondary,Drinking water,2019,36.6417,4939093.874,Limited service
MLI,Mali,primary,Drinking water,2019,27.85609,941569.5603,Limited service
MNG,Mongolia,primary,Drinking water,2019,23.8,75259.646,Limited service
MNG,Mongolia,secondary,Drinking water,2019,25.35,81638.4075,Limited service
MSR,Montserrat,primary,Drinking water,2019,0,0,Limited service
MSR,Montserrat,secondary,Drinking water,2019,0,0,Limited service
MUS,Mauritius,primary,Drinking water,2019,0,0,Limited service
MUS,Mauritius,secondary,Drinking water,2019,0,0,Limited service
MWI,Malawi,primary,Drinking water,2019,4.24111,136132.6688,Limited service
MWI,Malawi,secondary,Drinking water,2019,13.18611,363979.1259,Limited service
MYS,Malaysia,primary,Drinking water,2019,2.86479,86543.85961,Limited service
MYS,Malaysia,secondary,Drinking water,2019,1.09913,37491.86143,Limited service
NER,Niger,primary,Drinking water,2019,1.63428,65620.53414,Limited service
NGA,Nigeria,primary,Drinking water,2019,27.42201,8981278.211,Limited service
NGA,Nigeria,secondary,Drinking water,2019,18.20514,4909364.811,Limited service
NIU,Niue,primary,Drinking water,2019,0,0,Limited service
NIU,Niue,secondary,Drinking water,2019,0,0,Limited service
NLD,Netherlands,primary,Drinking water,2019,0,0,Limited service
NLD,Netherlands,secondary,Drinking water,2019,0,0,Limited service
NOR,Norway,primary,Drinking water,2019,0,0,Limited service
NOR,Norway,secondary,Drinking water,2019,0,0,Limited service
PAK,Pakistan,primary,Drinking water,2019,10.92096,2697868.006,Limited service
PAK,Pakistan,secondary,Drinking water,2019,4.27154,1350860.482,Limited service
PER,Peru,primary,Drinking water,2019,5.36665,175698.8513,Limited service
PER,Peru,secondary,Drinking water,2019,9.39841,244022.6019,Limited service
PHL,Philippines,primary,Drinking water,2019,19.85243,2632848.767,Limited service
PHL,Philippines,secondary,Drinking water,2019,18.35268,1824076.316,Limited service
PNG,Papua New Guinea,primary,Drinking water,2019,6.29018,89476.43411,Limited service
PNG,Papua New Guinea,secondary,Drinking water,2019,23.27467,260451.5006,Limited service
POL,Poland,primary,Drinking water,2019,0,0,Limited service
POL,Poland,secondary,Drinking water,2019,0,0,Limited service
PRT,Portugal,primary,Drinking water,2019,0,0,Limited service
PRT,Portugal,secondary,Drinking water,2019,0,0,Limited service
PRY,Paraguay,primary,Drinking water,2019,29.83161,244237.6495,Limited service
PSE,West Bank and Gaza Strip,primary,Drinking water,2019,19.39163,92790.71863,Limited service
PSE,West Bank and Gaza Strip,secondary,Drinking water,2019,14.09396,128147.0738,Limited service
QAT,Qatar,primary,Drinking water,2019,0,0,Limited service
QAT,Qatar,secondary,Drinking water,2019,0,0,Limited service
SAU,Saudi Arabia,primary,Drinking water,2019,0,0,Limited service
SAU,Saudi Arabia,secondary,Drinking water,2019,0,0,Limited service
SEN,Senegal,primary,Drinking water,2019,31.98719,846495.1606,Limited service
SEN,Senegal,secondary,Drinking water,2019,16.2604,404353.5645,Limited service
SGP,Singapore,primary,Drinking water,2019,0,0,Limited service
SGP,Singapore,secondary,Drinking water,2019,0,0,Limited service
SLE,Sierra Leone,primary,Drinking water,2019,37.44406,461225.8622,Limited service
SLE,Sierra Leone,secondary,Drinking water,2019,26.45698,326615.9637,Limited service
SLV,El Salvador,primary,Drinking water,2019,14.81318,102726.4451,Limited service
SLV,El Salvador,secondary,Drinking water,2019,11.77658,83691.44866,Limited service
SMR,San Marino,primary,Drinking water,2019,0,0,Limited service
SMR,San Marino,secondary,Drinking water,2019,0,0,Limited service
SSD,South Sudan,primary,Drinking water,2019,9.34343,166650.5387,Limited service
SVK,Slovakia,primary,Drinking water,2019,0,0,Limited service
SVK,Slovakia,secondary,Drinking water,2019,0,0,Limited service
SVN,Slovenia,primary,Drinking water,2019,0,0,Limited service
SVN,Slovenia,secondary,Drinking water,2019,0,0,Limited service
SYC,Seychelles,primary,Drinking water,2019,0,0,Limited service
SYC,Seychelles,secondary,Drinking water,2019,0,0,Limited service
SYR,Syrian Arab Republic,primary,Drinking water,2019,48.49592,1052204.283,Limited service
SYR,Syrian Arab Republic,secondary,Drinking water,2019,48.81757,951880.5693,Limited service
TCA,Turks and Caicos Islands,primary,Drinking water,2019,0,0,Limited service
TCA,Turks and Caicos Islands,secondary,Drinking water,2019,0,0,Limited service
TCD,Chad,primary,Drinking water,2019,10.94645,302994.4009,Limited service
TGO,Togo,primary,Drinking water,2019,15.03994,191676.2145,Limited service
TLS,Timor-Leste,primary,Drinking water,2019,3.32794,6143.10448,Limited service
TLS,Timor-Leste,secondary,Drinking water,2019,13.9923,26076.46761,Limited service
TUN,Tunisia,primary,Drinking water,2019,17.2717,186054.3286,Limited service
UGA,Uganda,primary,Drinking water,2019,23.34217,2138903.478,Limited service
URY,Uruguay,primary,Drinking water,2019,0,0,Limited service
URY,Uruguay,secondary,Drinking water,2019,0,0,Limited service
USA,United States of America,primary,Drinking water,2019,0,0,Limited service
USA,United States of America,secondary,Drinking water,2019,0,0,Limited service
VCT,Saint Vincent and the Grenadines,primary,Drinking water,2019,0,0,Limited service
VCT,Saint Vincent and the Grenadines,secondary,Drinking water,2019,1.23457,110.8394,Limited service
VGB,British Virgin Islands,primary,Drinking water,2019,0,0,Limited service
WSM,Samoa,primary,Drinking water,2019,0,0,Limited service
WSM,Samoa,secondary,Drinking water,2019,0,0,Limited service
ZMB,Zambia,primary,Drinking water,2019,3.43661,119849.1276,Limited service
ZMB,Zambia,secondary,Drinking water,2019,0.98899,21016.69011,Limited service
ZWE,Zimbabwe,primary,Drinking water,2019,21.68661,622800.4632,Limited service
ZWE,Zimbabwe,secondary,Drinking water,2019,18.79227,376947.3541,Limited service
AFG,Afghanistan,primary,Drinking water,2019,24.5,1556270.38,No service
AGO,Angola,primary,Drinking water,2019,81.5,4644493.475,No service
AGO,Angola,secondary,Drinking water,2019,51.75799,2346059.085,No service
AND,Andorra,primary,Drinking water,2019,0,0,No service
AND,Andorra,secondary,Drinking water,2019,0,0,No service
ARE,United Arab Emirates,primary,Drinking water,2019,0,0,No service
ARE,United Arab Emirates,secondary,Drinking water,2019,0,0,No service
ARG,Argentina,primary,Drinking water,2019,10.07519,441624.9083,No service
ATG,Antigua and Barbuda,primary,Drinking water,2019,0,0,No service
ATG,Antigua and Barbuda,secondary,Drinking water,2019,0,0,No service
AUS,Australia,primary,Drinking water,2019,0,0,No service
AUS,Australia,secondary,Drinking water,2019,0,0,No service
AZE,Azerbaijan,primary,Drinking water,2019,0,0,No service
AZE,Azerbaijan,secondary,Drinking water,2019,0,0,No service
BDI,Burundi,primary,Drinking water,2019,47.9002,890891.9424,No service
BDI,Burundi,secondary,Drinking water,2019,14.53638,240553.1141,No service
BEL,Belgium,primary,Drinking water,2019,0,0,No service
BEL,Belgium,secondary,Drinking water,2019,0,0,No service
BEN,Benin,primary,Drinking water,2019,18.71765,349770.6809,No service
BEN,Benin,secondary,Drinking water,2019,26.91429,489009.9634,No service
BFA,Burkina Faso,primary,Drinking water,2019,40.81714,1396232.414,No service
BFA,Burkina Faso,secondary,Drinking water,2019,44.1127,1433163.423,No service
BGD,Bangladesh,primary,Drinking water,2019,8.62935,1277138.113,No service
BGD,Bangladesh,secondary,Drinking water,2019,0,0,No service
BHR,Bahrain,primary,Drinking water,2019,0,0,No service
BHR,Bahrain,secondary,Drinking water,2019,0,0,No service
BLR,Belarus,primary,Drinking water,2019,0,0,No service
BLR,Belarus,secondary,Drinking water,2019,0,0,No service
BRA,Brazil,primary,Drinking water,2019,17.80757,2505311.233,No service
BRA,Brazil,secondary,Drinking water,2019,6.46171,1523064.247,No service
BRB,Barbados,primary,Drinking water,2019,0,0,No service
BRB,Barbados,secondary,Drinking water,2019,0,0,No service
BTN,Bhutan,primary,Drinking water,2019,11.03753,9967.54967,No service
BTN,Bhutan,secondary,Drinking water,2019,7.76699,6480.31068,No service
BWA,Botswana,primary,Drinking water,2019,0,0,No service
BWA,Botswana,secondary,Drinking water,2019,0,0,No service
CAF,Central African Republic,primary,Drinking water,2019,81.38285,665449.6328,No service
CAF,Central African Republic,secondary,Drinking water,2019,57.70608,484830.904,No service
CHE,Switzerland,primary,Drinking water,2019,0,0,No service
CHE,Switzerland,secondary,Drinking water,2019,0,0,No service
CHL,Chile,primary,Drinking water,2019,3.66991,55670.85369,No service
CHN,China,primary,Drinking water,2019,0.59359,607559.1306,No service
CHN,China,secondary,Drinking water,2019,0.40079,397235.0623,No service
CIV,Côte d’Ivoire,primary,Drinking water,2019,56.24503,2244906.699,No service
CIV,Côte d’Ivoire,secondary,Drinking water,2019,13.81773,563493.535,No service
CMR,Cameroon,primary,Drinking water,2019,43.09825,1793207.668,No service
COD,Democratic Republic of the Congo,primary,Drinking water,2019,51.32505,7536810.187,No service
COD,Democratic Republic of the Congo,secondary,Drinking water,2019,56.5,6580579.295,No service
COG,Congo,primary,Drinking water,2019,60.4,518724.864,No service
COG,Congo,secondary,Drinking water,2019,31.87403,256919.3114,No service
COK,Cook Islands,primary,Drinking water,2019,0,0,No service
COK,Cook Islands,secondary,Drinking water,2019,0,0,No service
COL,Colombia,primary,Drinking water,2019,26.48971,990796.7461,No service
COM,Comoros,primary,Drinking water,2019,89.1705,113727.164,No service
COM,Comoros,secondary,Drinking water,2019,87.73,110985.4684,No service
CPV,Cabo Verde,primary,Drinking water,2019,0,0,No service
CPV,Cabo Verde,secondary,Drinking water,2019,0,0,No service
CRI,Costa Rica,primary,Drinking water,2019,13.06458,55894.44876,No service
CRI,Costa Rica,secondary,Drinking water,2019,6.14873,21935.58656,No service
CUB,Cuba,primary,Drinking water,2019,0,0,No service
CUB,Cuba,secondary,Drinking water,2019,0,0,No service
CYM,Cayman Islands,primary,Drinking water,2019,0,0,No service
CYM,Cayman Islands,secondary,Drinking water,2019,0,0,No service
DEU,Germany,primary,Drinking water,2019,0,0,No service
DEU,Germany,secondary,Drinking water,2019,0,0,No service
DJI,Djibouti,primary,Drinking water,2019,13.17,12017.7567,No service
DJI,Djibouti,secondary,Drinking water,2019,24.25263,30565.83411,No service
DMA,Dominica,primary,Drinking water,2019,0,0,No service
DMA,Dominica,secondary,Drinking water,2019,0,0,No service
DNK,Denmark,primary,Drinking water,2019,0,0,No service
DNK,Denmark,secondary,Drinking water,2019,0,0,No service
DOM,Dominican Republic,primary,Drinking water,2019,10.15436,117642.5064,No service
DZA,Algeria,primary,Drinking water,2019,14.7,618583.35,No service
DZA,Algeria,secondary,Drinking water,2019,1.14,49276.0098,No service
ECU,Ecuador,primary,Drinking water,2019,6.7629,127267.1596,No service
ECU,Ecuador,secondary,Drinking water,2019,4,74672.56,No service
ERI,Eritrea,primary,Drinking water,2019,35.40357,179282.6236,No service
ERI,Eritrea,secondary,Drinking water,2019,19.91786,113912.416,No service
ESP,Spain,primary,Drinking water,2019,0,0,No service
ESP,Spain,secondary,Drinking water,2019,0,0,No service
EST,Estonia,primary,Drinking water,2019,0,0,No service
EST,Estonia,secondary,Drinking water,2019,0,0,No service
ETH,Ethiopia,primary,Drinking water,2019,79.52482,13387363.89,No service
ETH,Ethiopia,secondary,Drinking water,2019,46.86007,7258586.732,No service
FIN,Finland,primary,Drinking water,2019,0,0,No service
FIN,Finland,secondary,Drinking water,2019,0,0,No service
FRA,France,primary,Drinking water,2019,0,0,No service
FRA,France,secondary,Drinking water,2019,0,0,No service
GEO,Georgia,primary,Drinking water,2019,0.08658,275.99713,No service
GEO,Georgia,secondary,Drinking water,2019,0,0,No service
GHA,Ghana,primary,Drinking water,2019,15.99884,694312.6562,No service
GHA,Ghana,secondary,Drinking water,2019,6.40812,282947.469,No service
GIB,Gibraltar,primary,Drinking water,2019,0,0,No service
GIB,Gibraltar,secondary,Drinking water,2019,0,0,No service
GIN,Guinea,primary,Drinking water,2019,65.18851,1337919.251,No service
GMB,Gambia,primary,Drinking water,2019,14.95972,55135.55222,No service
GMB,Gambia,secondary,Drinking water,2019,11.3181,34502.77357,No service
GNQ,Equatorial Guinea,primary,Drinking water,2019,74.15,131505.7665,No service
GNQ,Equatorial Guinea,secondary,Drinking water,2019,48.5,69640.18,No service
GRD,Grenada,primary,Drinking water,2019,0,0,No service
GRD,Grenada,secondary,Drinking water,2019,0,0,No service
GTM,Guatemala,primary,Drinking water,2019,18.94582,439977.2865,No service
HKG,"China, Hong Kong Special Administrative Region",primary,Drinking water,2019,0,0,No service
HKG,"China, Hong Kong Special Administrative Region",secondary,Drinking water,2019,0,0,No service
HTI,Haiti,primary,Drinking water,2019,51.57027,757585.2644,No service
HUN,Hungary,primary,Drinking water,2019,0,0,No service
HUN,Hungary,secondary,Drinking water,2019,0,0,No service
IDN,Indonesia,primary,Drinking water,2019,17.06294,4733224.316,No service
IDN,Indonesia,secondary,Drinking water,2019,13.8868,3889529.36,No service
IND,India,primary,Drinking water,2019,7.7798,9646673.079,No service
IND,India,secondary,Drinking water,2019,6.2479,11085813.08,No service
IRQ,Iraq,primary,Drinking water,2019,19.28,1101810.355,No service
IRQ,Iraq,secondary,Drinking water,2019,8.63796,435444.0699,No service
ISR,Israel,primary,Drinking water,2019,0,0,No service
ISR,Israel,secondary,Drinking water,2019,0,0,No service
ITA,Italy,primary,Drinking water,2019,0,0,No service
ITA,Italy,secondary,Drinking water,2019,0,0,No service
KHM,Cambodia,primary,Drinking water,2019,17.75367,360683.9745,No service
KHM,Cambodia,secondary,Drinking water,2019,23.9531,427450.7136,No service
KNA,Saint Kitts and Nevis,secondary,Drinking water,2019,0,0,No service
KOR,Republic of Korea,primary,Drinking water,2019,0,0,No service
KOR,Republic of Korea,secondary,Drinking water,2019,0,0,No service
KWT,Kuwait,primary,Drinking water,2019,0,0,No service
KWT,Kuwait,secondary,Drinking water,2019,0,0,No service
LAO,Lao People's Democratic Republic,primary,Drinking water,2019,32.675,251697.1588,No service
LBN,Lebanon,primary,Drinking water,2019,37.2,242760.132,No service
LBN,Lebanon,secondary,Drinking water,2019,36.8,261618.928,No service
LBR,Liberia,primary,Drinking water,2019,42.4,327717.232,No service
LBR,Liberia,secondary,Drinking water,2019,24.46126,165000.4715,No service
LCA,Saint Lucia,primary,Drinking water,2019,0,0,No service
LCA,Saint Lucia,secondary,Drinking water,2019,0,0,No service
LVA,Latvia,primary,Drinking water,2019,0,0,No service
LVA,Latvia,secondary,Drinking water,2019,0,0,No service
MAC,"China, Macao Special Administrative Region",primary,Drinking water,2019,0,0,No service
MAC,"China, Macao Special Administrative Region",secondary,Drinking water,2019,0,0,No service
MAR,Morocco,primary,Drinking water,2019,16.35,631439.4525,No service
MAR,Morocco,secondary,Drinking water,2019,9.4,338181.168,No service
MCO,Monaco,primary,Drinking water,2019,0,0,No service
MCO,Monaco,secondary,Drinking water,2019,0,0,No service
MDA,Republic of Moldova,primary,Drinking water,2019,0,0,No service
MDA,Republic of Moldova,secondary,Drinking water,2019,0,0,No service
MDG,Madagascar,primary,Drinking water,2019,63.2,2191468.848,No service
MDG,Madagascar,secondary,Drinking water,2019,74.1,3201108.144,No service
MDV,Maldives,primary,Drinking water,2019,0,0,No service
MDV,Maldives,secondary,Drinking water,2019,0,0,No service
MEX,Mexico,primary,Drinking water,2019,16.64673,2228894.275,No service
MEX,Mexico,secondary,Drinking water,2019,14.3183,1930025.692,No service
MLI,Mali,primary,Drinking water,2019,2.06685,69862.19444,No service
MNG,Mongolia,primary,Drinking water,2019,3.5,11067.595,No service
MNG,Mongolia,secondary,Drinking water,2019,1.25,4025.5625,No service
MRT,Mauritania,primary,Drinking water,2019,81.9,552580.119,No service
MRT,Mauritania,secondary,Drinking water,2019,58.075,382961.6495,No service
MSR,Montserrat,primary,Drinking water,2019,0,0,No service
MSR,Montserrat,secondary,Drinking water,2019,0,0,No service
MUS,Mauritius,primary,Drinking water,2019,0,0,No service
MUS,Mauritius,secondary,Drinking water,2019,0,0,No service
MWI,Malawi,primary,Drinking water,2019,8.48889,272479.3267,No service
MWI,Malawi,secondary,Drinking water,2019,5.11389,141159.8001,No service
MYS,Malaysia,primary,Drinking water,2019,0,0,No service
MYS,Malaysia,secondary,Drinking water,2019,0,0,No service
NER,Niger,primary,Drinking water,2019,82.23379,3301896.541,No service
NER,Niger,secondary,Drinking water,2019,44.98397,1592954.864,No service
NGA,Nigeria,primary,Drinking water,2019,40.5232,13272188.61,No service
NGA,Nigeria,secondary,Drinking water,2019,28.46153,7675196.887,No service
NIC,Nicaragua,primary,Drinking water,2019,31.5427,247305.8441,No service
NIU,Niue,primary,Drinking water,2019,0,0,No service
NIU,Niue,secondary,Drinking water,2019,0,0,No service
NLD,Netherlands,primary,Drinking water,2019,0,0,No service
NLD,Netherlands,secondary,Drinking water,2019,0,0,No service
NOR,Norway,primary,Drinking water,2019,0,0,No service
NOR,Norway,secondary,Drinking water,2019,0,0,No service
PAK,Pakistan,primary,Drinking water,2019,37.07143,9157968.531,No service
PAK,Pakistan,secondary,Drinking water,2019,15.10119,4775696.52,No service
PAN,Panama,primary,Drinking water,2019,19.72651,89275.66102,No service
PER,Peru,primary,Drinking water,2019,15.22989,498611.3613,No service
PER,Peru,secondary,Drinking water,2019,14.57159,378340.4706,No service
PHL,Philippines,primary,Drinking water,2019,34.79667,4614767.338,No service
PHL,Philippines,secondary,Drinking water,2019,27.68667,2751782.507,No service
PNG,Papua New Guinea,primary,Drinking water,2019,47.86948,680932.2958,No service
PNG,Papua New Guinea,secondary,Drinking water,2019,11.54014,129138.1142,No service
POL,Poland,primary,Drinking water,2019,0,0,No service
POL,Poland,secondary,Drinking water,2019,0,0,No service
PRT,Portugal,primary,Drinking water,2019,0,0,No service
PRT,Portugal,secondary,Drinking water,2019,0,0,No service
PRY,Paraguay,primary,Drinking water,2019,3.43421,28116.60471,No service
PSE,West Bank and Gaza Strip,primary,Drinking water,2019,0,0,No service
PSE,West Bank and Gaza Strip,secondary,Drinking water,2019,0,0,No service
QAT,Qatar,primary,Drinking water,2019,0,0,No service
QAT,Qatar,secondary,Drinking water,2019,0,0,No service
SAU,Saudi Arabia,primary,Drinking water,2019,0,0,No service
SAU,Saudi Arabia,secondary,Drinking water,2019,0,0,No service
SDN,Sudan,primary,Drinking water,2019,13.7,902075.404,No service
SDN,Sudan,secondary,Drinking water,2019,4.6355,228657.719,No service
SEN,Senegal,primary,Drinking water,2019,25.53641,675784.6546,No service
SEN,Senegal,secondary,Drinking water,2019,4.96746,123527.7467,No service
SGP,Singapore,primary,Drinking water,2019,0,0,No service
SGP,Singapore,secondary,Drinking water,2019,0,0,No service
SLE,Sierra Leone,primary,Drinking water,2019,7.535,92814.09555,No service
SLE,Sierra Leone,secondary,Drinking water,2019,2.38,29381.5046,No service
SLV,El Salvador,primary,Drinking water,2019,5.15416,35743.06952,No service
SLV,El Salvador,secondary,Drinking water,2019,4.31444,30660.98202,No service
SMR,San Marino,primary,Drinking water,2019,0,0,No service
SMR,San Marino,secondary,Drinking water,2019,0,0,No service
SOM,Somalia,primary,Drinking water,2019,46.00531,1225058.505,No service
SOM,Somalia,secondary,Drinking water,2019,36.95314,826031.1936,No service
SSD,South Sudan,primary,Drinking water,2019,39.89899,711643.1735,No service
SSD,South Sudan,secondary,Drinking water,2019,8,122128.72,No service
STP,Sao Tome and Principe,primary,Drinking water,2019,9.50326,3399.50685,No service
STP,Sao Tome and Principe,secondary,Drinking water,2019,4.57619,1418.436,No service
SVK,Slovakia,primary,Drinking water,2019,0,0,No service
SVK,Slovakia,secondary,Drinking water,2019,0,0,No service
SVN,Slovenia,primary,Drinking water,2019,0,0,No service
SVN,Slovenia,secondary,Drinking water,2019,0,0,No service
SWZ,Eswatini,primary,Drinking water,2019,16.84577,34734.96541,No service
SWZ,Eswatini,secondary,Drinking water,2019,8.80302,11839.45007,No service
SYC,Seychelles,primary,Drinking water,2019,0,0,No service
SYC,Seychelles,secondary,Drinking water,2019,0,0,No service
SYR,Syrian Arab Republic,primary,Drinking water,2019,2.34207,50815.35969,No service
SYR,Syrian Arab Republic,secondary,Drinking water,2019,1.79054,34913.26655,No service
TCA,Turks and Caicos Islands,primary,Drinking water,2019,0,0,No service
TCA,Turks and Caicos Islands,secondary,Drinking water,2019,0,0,No service
TCD,Chad,primary,Drinking water,2019,69.7173,1929753.832,No service
TCD,Chad,secondary,Drinking water,2019,50.01426,1307565.209,No service
TGO,Togo,primary,Drinking water,2019,64.755,825268.8024,No service
TGO,Togo,secondary,Drinking water,2019,48.59,608366.236,No service
TLS,Timor-Leste,primary,Drinking water,2019,27.56216,50877.54376,No service
TLS,Timor-Leste,secondary,Drinking water,2019,23.91542,44569.48724,No service
TUN,Tunisia,primary,Drinking water,2019,13.2283,142498.0764,No service
TUN,Tunisia,secondary,Drinking water,2019,0,0,No service
TZA,United Republic of Tanzania,primary,Drinking water,2019,27.6,3040368.528,No service
UGA,Uganda,primary,Drinking water,2019,6.61378,606037.8432,No service
URY,Uruguay,primary,Drinking water,2019,0,0,No service
URY,Uruguay,secondary,Drinking water,2019,0,0,No service
USA,United States of America,primary,Drinking water,2019,0,0,No service
USA,United States of America,secondary,Drinking water,2019,0,0,No service
VCT,Saint Vincent and the Grenadines,primary,Drinking water,2019,0,0,No service
VCT,Saint Vincent and the Grenadines,secondary,Drinking water,2019,0,0,No service
VGB,British Virgin Islands,primary,Drinking water,2019,0,0,No service
VUT,Vanuatu,primary,Drinking water,2019,51.0774,23600.82222,No service
VUT,Vanuatu,secondary,Drinking water,2019,58.11573,25583.12718,No service
WSM,Samoa,primary,Drinking water,2019,0,0,No service
WSM,Samoa,secondary,Drinking water,2019,0,0,No service
ZMB,Zambia,primary,Drinking water,2019,18.49456,644982.9975,No service
ZMB,Zambia,secondary,Drinking water,2019,5.01101,106487.7499,No service
ZWE,Zimbabwe,primary,Drinking water,2019,13.86974,398313.8243,No service
ZWE,Zimbabwe,secondary,Drinking water,2019,12.24476,245613.2894,No service