Year,Service Type,Service Level,Coverage,Type,Region,Residence Type,Population
2000,Sanitation,Basic service,27.9313196795,world,World,total,1716381538.0458100
2000,Sanitation,Basic service,14.0816206351,world,World,rural,461413360.01719800
2000,Sanitation,Basic service,43.753021835,world,World,urban,1254968168.4779700
2000,Sanitation,Limited service,5.4519876109,world,World,total,335025018.0936230
2000,Sanitation,Limited service,3.6000839717,world,World,rural,117964180.74107300
2000,Sanitation,Limited service,7.567576379,world,World,urban,217060835.34037500
2000,Sanitation,Open defecation,21.4828899769,world,World,total,1320125084.0748200
2000,Sanitation,Open defecation,36.0745973134,world,World,rural,1182058627.2685800
2000,Sanitation,Open defecation,4.8135278177,world,World,urban,138066445.14926700
2000,Sanitation,Safely managed service,28.2048857411,world,World,total,1733192191.5685900
2000,Sanitation,Safely managed service,21.7568275078,world,World,rural,712907352.3444840
2000,Sanitation,Safely managed service,35.5710570926,world,World,urban,1020284828.295350
2000,Sanitation,Unimproved,16.9289169917,world,World,total,1040283127.2233000
2000,Sanitation,Unimproved,24.486870572,world,World,rural,802362847.2684330
2000,Sanitation,Unimproved,8.2948168757,world,World,urban,237920278.54931300
2000,Drinking water,Basic service,20.2443096897,world,World,total,1244014239.2335800
2000,Drinking water,Basic service,29.9472250794,world,World,rural,981282631.108114
2000,Drinking water,Basic service,9.1598349867,world,World,urban,262731597.835003
2000,Drinking water,Limited service,2.7955277012,world,World,total,171785371.77951300
2000,Drinking water,Limited service,3.8584910689,world,World,rural,126431422.54945800
2000,Drinking water,Limited service,1.5812132297,world,World,urban,45353947.85606230
2000,Drinking water,Safely managed service,61.2543373967,world,World,total,3764083295.7165500
2000,Drinking water,Safely managed service,39.436098448,world,World,rural,1292205148.994310
2000,Drinking water,Safely managed service,86.1791878577,world,World,urban,2471878124.3169100
2000,Drinking water,Surface water,4.1594602339,world,World,total,255599120.82999300
2000,Drinking water,Surface water,7.2978402174,world,World,rural,239128795.1037220
2000,Drinking water,Surface water,0.5742188832,world,World,urban,16470323.418404600
2000,Drinking water,Unimproved,11.5463649785,world,World,total,709524931.4403640
2000,Drinking water,Unimproved,19.4603451863,world,World,rural,637658369.8841720
2000,Drinking water,Unimproved,2.5055450427,world,World,urban,71866562.38589090
2001,Sanitation,Basic service,28.4341717223,world,World,total,1769575703.828610
2001,Sanitation,Basic service,14.4629889917,world,World,rural,475879930.0423220
2001,Sanitation,Basic service,44.1070278756,world,World,urban,1293695777.8734100
2001,Sanitation,Limited service,5.6590202733,world,World,total,352184156.4757630
2001,Sanitation,Limited service,3.860095344,world,World,rural,127009838.92842600
2001,Sanitation,Limited service,7.677052139100000,world,World,urban,225174318.40747400
2001,Sanitation,Open defecation,20.636239947,world,World,total,1284278268.5999300
2001,Sanitation,Open defecation,34.9165204177,world,World,rural,1148868418.7778900
2001,Sanitation,Open defecation,4.6166388594,world,World,urban,135409853.8948730
2001,Sanitation,Safely managed service,28.3966934006,world,World,total,1767243273.394260
2001,Sanitation,Safely managed service,22.0832713625,world,World,rural,726612295.502887
2001,Sanitation,Safely managed service,35.4790828959,world,World,urban,1040630982.3164900
2001,Sanitation,Unimproved,16.8738746568,world,World,total,1050130769.1936300
2001,Sanitation,Unimproved,24.6771238841,world,World,rural,811958578.8491220
2001,Sanitation,Unimproved,8.12019823,world,World,urban,238172161.48126600
2001,Drinking water,Basic service,20.1006280376,world,World,total,1250944931.8383700
2001,Drinking water,Basic service,29.7984113474,world,World,rural,980465788.607799
2001,Drinking water,Basic service,9.2216667017,world,World,urban,270479147.01014700
2001,Drinking water,Limited service,2.8425143886,world,World,total,176901386.43654900
2001,Drinking water,Limited service,3.9467871736,world,World,rural,129862285.39222200
2001,Drinking water,Limited service,1.6037425487,world,World,urban,47039101.566779600
2001,Drinking water,Safely managed service,61.70454247070000,world,World,total,3840128006.4851100
2001,Drinking water,Safely managed service,39.9261237374,world,World,rural,1313700852.7019400
2001,Drinking water,Safely managed service,86.1355468662,world,World,urban,2526427163.0341400
2001,Drinking water,Surface water,4.0784834839,world,World,total,253820837.54933100
2001,Drinking water,Surface water,7.2047858357,world,World,rural,237061162.21414800
2001,Drinking water,Surface water,0.5714013417,world,World,urban,16759676.152140500
2001,Drinking water,Unimproved,11.2738316193,world,World,total,701617009.1890510
2001,Drinking water,Unimproved,19.1238919059,world,World,rural,629238973.184541
2001,Drinking water,Unimproved,2.4676425417,world,World,urban,72378006.21030090
2002,Sanitation,Basic service,29.2499731972,world,World,total,1843377099.1925800
2002,Sanitation,Basic service,15.3922946231,world,World,rural,507999253.2514490
2002,Sanitation,Basic service,44.4858746622,world,World,urban,1335377844.3085200
2002,Sanitation,Limited service,5.8762534217,world,World,total,370330287.60692200
2002,Sanitation,Limited service,4.136058003400000,world,World,rural,136504298.32460700
2002,Sanitation,Limited service,7.7895208952,world,World,urban,233825988.59109300
2002,Sanitation,Open defecation,19.9255647969,world,World,total,1255738922.8171800
2002,Sanitation,Open defecation,34.0102536326,world,World,rural,1122456649.337030
2002,Sanitation,Open defecation,4.4400752369,world,World,urban,133282264.1668150
2002,Sanitation,Safely managed service,28.6535637201,world,World,total,1805790481.0984200
2002,Sanitation,Safely managed service,22.5426893936,world,World,rural,743987148.026784
2002,Sanitation,Safely managed service,35.3721982173,world,World,urban,1061803328.8667200
2002,Sanitation,Unimproved,16.2946448641,world,World,total,1026912913.029040
2002,Sanitation,Unimproved,23.9187043474,world,World,rural,789400426.9503940
2002,Sanitation,Unimproved,7.9123309883,world,World,urban,237512504.3363380
2002,Drinking water,Basic service,19.5332975883,world,World,total,1231017656.09251
2002,Drinking water,Basic service,29.0422840469,world,World,rural,958496375.6086380
2002,Drinking water,Basic service,9.0785894333,world,World,urban,272521272.85031400
2002,Drinking water,Limited service,2.8240476577,world,World,total,177975711.0933340
2002,Drinking water,Limited service,3.9616487952,world,World,rural,130748187.90083600
2002,Drinking water,Limited service,1.5733057432,world,World,urban,47227522.16846560
2002,Drinking water,Safely managed service,62.8369179857,world,World,total,3960076640.677740
2002,Drinking water,Safely managed service,41.4536403946,world,World,rural,1368114298.7873600
2002,Drinking water,Safely managed service,86.346880829,world,World,urban,2591962335.45501
2002,Drinking water,Surface water,3.9659216461,world,World,total,249938319.27041600
2002,Drinking water,Surface water,7.064804208,world,World,rural,233163108.54949700
2002,Drinking water,Surface water,0.558837963,world,World,urban,16775208.76042950
2002,Drinking water,Unimproved,10.8398151223,world,World,total,683141376.616442
2002,Drinking water,Unimproved,18.4776225553,world,World,rural,609825805.0406310
2002,Drinking water,Unimproved,2.4423860314,world,World,urban,73315591.03527090
2003,Sanitation,Basic service,29.3573680293,world,World,total,1873413755.163570
2003,Sanitation,Basic service,15.562981523,world,World,rural,515082349.4118550
2003,Sanitation,Basic service,44.2201823879,world,World,urban,1358331414.1530400
2003,Sanitation,Limited service,6.0840741384,world,World,total,388249660.7644720
2003,Sanitation,Limited service,4.4076040754,world,World,rural,145876871.92708700
2003,Sanitation,Limited service,7.8903932536,world,World,urban,242372791.05657400
2003,Sanitation,Open defecation,19.2099977611,world,World,total,1225868545.3814600
2003,Sanitation,Open defecation,33.0858701861,world,World,rural,1095031033.9060900
2003,Sanitation,Open defecation,4.259387077,world,World,urban,130837526.1995690
2003,Sanitation,Safely managed service,29.598204893,world,World,total,1888782540.7016900
2003,Sanitation,Safely managed service,23.7172730482,world,World,rural,784961975.650694
2003,Sanitation,Safely managed service,35.9346376878,world,World,urban,1103820576.7532700
2003,Sanitation,Unimproved,15.7503551782,world,World,total,1005094598.7427200
2003,Sanitation,Unimproved,23.2262711673,world,World,rural,768711464.6540800
2003,Sanitation,Unimproved,7.6953995937,world,World,urban,236383082.29690700
2003,Drinking water,Basic service,19.2858880147,world,World,total,1230711412.9312700
2003,Drinking water,Basic service,28.651505041,world,World,rural,948268460.5705990
2003,Drinking water,Basic service,9.1948690208,world,World,urban,282442965.30519900
2003,Drinking water,Limited service,2.8118536391,world,World,total,179435884.02540700
2003,Drinking water,Limited service,3.9824010775,world,World,rural,131804082.67320200
2003,Drinking water,Limited service,1.5506429443,world,World,urban,47631803.1640184
2003,Drinking water,Safely managed service,63.6094070896,world,World,total,4059176492.951340
2003,Drinking water,Safely managed service,42.5522783678,world,World,rural,1408337308.7683700
2003,Drinking water,Safely managed service,86.2974911325,world,World,urban,2650839205.9446400
2003,Drinking water,Surface water,3.8558370202,world,World,total,246056734.51728100
2003,Drinking water,Surface water,6.927514621,world,World,rural,229277436.41514200
2003,Drinking water,Surface water,0.5462464833,world,World,urban,16779301.171314100
2003,Drinking water,Unimproved,10.4370142364,world,World,total,666028576.3286100
2003,Drinking water,Unimproved,17.8863008927,world,World,rural,591976407.1224930
2003,Drinking water,Unimproved,2.4107504191,world,World,urban,74052114.87418370
2004,Sanitation,Basic service,29.4080434007,world,World,total,1900162784.0280700
2004,Sanitation,Basic service,15.6643711657,world,World,rural,519794340.3224910
2004,Sanitation,Basic service,43.9181391568,world,World,urban,1380368445.3848100
2004,Sanitation,Limited service,6.2885963483,world,World,total,406329539.9152610
2004,Sanitation,Limited service,4.6763774107,world,World,rural,155177280.05682000
2004,Sanitation,Limited service,7.990721575,world,World,urban,251152260.313329
2004,Sanitation,Open defecation,18.4891183827,world,World,total,1194650530.8632500
2004,Sanitation,Open defecation,32.1403660813,world,World,rural,1066520973.5028700
2004,Sanitation,Open defecation,4.0766013363,world,World,urban,128129560.0651790
2004,Sanitation,Safely managed service,30.5981945499,world,World,total,1977062865.079510
2004,Sanitation,Safely managed service,24.9657809616,world,World,rural,828445106.9434780
2004,Sanitation,Safely managed service,36.5447028388,world,World,urban,1148617760.5235300
2004,Sanitation,Unimproved,15.2160473184,world,World,total,983165266.7428230
2004,Sanitation,Unimproved,22.5531043806,world,World,rural,748384719.0372920
2004,Sanitation,Unimproved,7.469835093,world,World,urban,234780545.18183800
2004,Drinking water,Basic service,19.4825836531,world,World,total,1258842007.6071100
2004,Drinking water,Basic service,29.1225948975,world,World,rural,966381595.7305730
2004,Drinking water,Basic service,9.304991880700000,world,World,urban,292460414.38191100
2004,Drinking water,Limited service,2.8022140465,world,World,total,181061445.38379100
2004,Drinking water,Limited service,4.0021479495,world,World,rural,132804172.6844770
2004,Drinking water,Limited service,1.5353651701,world,World,urban,48257273.04570410
2004,Drinking water,Safely managed service,63.9301535371,world,World,total,4130764392.3534900
2004,Drinking water,Safely managed service,42.7912143207,world,World,rural,1419950458.536820
2004,Drinking water,Safely managed service,86.2479174747,world,World,urban,2710813938.1127600
2004,Drinking water,Surface water,3.7445118568,world,World,total,241946802.70615500
2004,Drinking water,Surface water,6.786139677,world,World,rural,225185994.3453320
2004,Drinking water,Surface water,0.5332659851,world,World,urban,16760808.926830700
2004,Drinking water,Unimproved,10.0405369065,world,World,total,648756338.5783590
2004,Drinking water,Unimproved,17.2979031553,world,World,rural,574000198.5690750
2004,Drinking water,Unimproved,2.3784594894,world,World,urban,74756137.00462290
2005,Sanitation,Basic service,29.667043609,world,World,total,1940865291.6229200
2005,Sanitation,Basic service,15.9717159852,world,World,rural,531259961.87166900
2005,Sanitation,Basic service,43.8323099506,world,World,urban,1409605320.352230
2005,Sanitation,Limited service,6.4654693288,world,World,total,422981311.5086960
2005,Sanitation,Limited service,4.9298192829,world,World,rural,163978348.1433400
2005,Sanitation,Limited service,8.0538133427,world,World,urban,259002962.64989000
2005,Sanitation,Open defecation,17.7589278957,world,World,total,1161817376.3273800
2005,Sanitation,Open defecation,31.1384330746,world,World,rural,1035743609.721370
2005,Sanitation,Open defecation,3.9203207854,world,World,urban,126073780.79812100
2005,Sanitation,Safely managed service,31.4518574035,world,World,total,2057630655.6211100
2005,Sanitation,Safely managed service,26.0716742034,world,World,rural,867210302.0153610
2005,Sanitation,Safely managed service,37.0166550087,world,World,urban,1190420352.0351300
2005,Sanitation,Unimproved,14.656701763,world,World,total,958864796.7890350
2005,Sanitation,Unimproved,21.8883574539,world,World,rural,728062529.8601410
2005,Sanitation,Unimproved,7.1769009126,world,World,urban,230802294.50474600
2005,Drinking water,Basic service,19.6829487089,world,World,total,1287689885.4292700
2005,Drinking water,Basic service,29.5878103293,world,World,rural,984165946.9762510
2005,Drinking water,Basic service,9.438213411,world,World,urban,303523949.65630200
2005,Drinking water,Limited service,2.7931255915,world,World,total,182730729.32826800
2005,Drinking water,Limited service,4.0251405272,world,World,rural,133886428.04504500
2005,Drinking water,Limited service,1.5188355101,world,World,urban,48844302.71162430
2005,Drinking water,Safely managed service,64.2424588258,world,World,total,4202844079.336720
2005,Drinking water,Safely managed service,43.0323266949,world,World,rural,1431364811.4182600
2005,Drinking water,Safely managed service,86.1803910548,world,World,urban,2771479255.320850
2005,Drinking water,Surface water,3.5932279239,world,World,total,235074699.53198000
2005,Drinking water,Surface water,6.5660059414,world,World,rural,218402084.6169360
2005,Drinking water,Surface water,0.5184425389,world,World,urban,16672618.028892000
2005,Drinking water,Unimproved,9.68823895,world,World,total,633820038.2494450
2005,Drinking water,Unimproved,16.7887165072,world,World,rural,558435480.5553880
2005,Drinking water,Unimproved,2.3441174851,world,World,urban,75384584.61923720
2006,Sanitation,Basic service,29.4498607376,world,World,total,1950713984.083080
2006,Sanitation,Basic service,16.0015741058,world,World,rural,533557186.9147290
2006,Sanitation,Basic service,43.081961865,world,World,urban,1417156786.795920
2006,Sanitation,Limited service,6.6482195363,world,World,total,440367950.6082320
2006,Sanitation,Limited service,5.180803178100000,world,World,rural,172748927.78604700
2006,Sanitation,Limited service,8.1356928712,world,World,urban,267619018.92575900
2006,Sanitation,Open defecation,17.0024308233,world,World,total,1126215158.228940
2006,Sanitation,Open defecation,30.1039520933,world,World,rural,1003787495.3874000
2006,Sanitation,Open defecation,3.7218343109,world,World,urban,122427636.17751600
2006,Sanitation,Safely managed service,32.7365012682,world,World,total,2168416054.079970
2006,Sanitation,Safely managed service,27.4353423892,world,World,rural,914805256.6852220
2006,Sanitation,Safely managed service,38.1101174984,world,World,urban,1253610776.3078400
2006,Sanitation,Unimproved,14.1629876345,world,World,total,938134759.9970500
2006,Sanitation,Unimproved,21.2783282335,world,World,rural,709505507.3612650
2006,Sanitation,Unimproved,6.9503934544,world,World,urban,228629264.50912000
2006,Drinking water,Basic service,19.8697348121,world,World,total,1316141013.4785100
2006,Drinking water,Basic service,30.0431440413,world,World,rural,1001759909.0416900
2006,Drinking water,Basic service,9.5572725302,world,World,urban,314381078.37040000
2006,Drinking water,Limited service,2.7891385228,world,World,total,184748293.66592700
2006,Drinking water,Limited service,4.055144217400000,world,World,rural,135214906.16259000
2006,Drinking water,Limited service,1.5058286992,world,World,urban,49533384.006753500
2006,Drinking water,Safely managed service,64.5668841236,world,World,total,4276812202.638720
2006,Drinking water,Safely managed service,43.2961495993,world,World,rural,1443668706.0723900
2006,Drinking water,Safely managed service,86.1283521231,world,World,urban,2833143465.686970
2006,Drinking water,Surface water,3.446782103,world,World,total,228309604.1885510
2006,Drinking water,Surface water,6.349735641600000,world,World,rural,211725862.97971000
2006,Drinking water,Surface water,0.5041501896,world,World,urban,16583735.55491500
2006,Drinking water,Unimproved,9.327460438500000,world,World,total,617836793.0322000
2006,Drinking water,Unimproved,16.2558265004,world,World,rural,542034989.8816220
2006,Drinking water,Unimproved,2.3043964579,world,World,urban,75801819.10040950
2007,Sanitation,Basic service,29.470419589,world,World,total,1976409721.4434600
2007,Sanitation,Basic service,16.1732625374,world,World,rural,540641485.3499380
2007,Sanitation,Basic service,42.6853565186,world,World,urban,1435768239.1212300
2007,Sanitation,Limited service,6.8215137879,world,World,total,457479274.24821700
2007,Sanitation,Limited service,5.4211953418,world,World,rural,181220276.0689310
2007,Sanitation,Limited service,8.2131737009,world,World,urban,276259000.83555700
2007,Sanitation,Open defecation,16.2579208248,world,World,total,1090324237.5478900
2007,Sanitation,Open defecation,29.0755099432,world,World,rural,971939140.0867960
2007,Sanitation,Open defecation,3.5195869542,world,World,urban,118385122.57625900
2007,Sanitation,Safely managed service,33.7836438521,world,World,total,2265672598.702880
2007,Sanitation,Safely managed service,28.659429488,world,World,rural,958030359.7894250
2007,Sanitation,Safely managed service,38.8761739509,world,World,urban,1307642254.1517800
2007,Sanitation,Unimproved,13.6665019462,world,World,total,916532838.0556030
2007,Sanitation,Unimproved,20.6706026896,world,World,rural,690979035.0178980
2007,Sanitation,Unimproved,6.7057088754,world,World,urban,225553787.2782520
2007,Drinking water,Basic service,20.0589936564,world,World,total,1345240095.5865300
2007,Drinking water,Basic service,30.4954949353,world,World,rural,1019406544.6088100
2007,Drinking water,Basic service,9.6870246643,world,World,urban,325833575.7023710
2007,Drinking water,Limited service,2.7835314372,world,World,total,186675271.98964600
2007,Drinking water,Limited service,4.0851029385,world,World,rural,136557241.64316200
2007,Drinking water,Limited service,1.4900079793,world,World,urban,50118033.61145520
2007,Drinking water,Safely managed service,64.88220999880000,world,World,total,4351272644.866860
2007,Drinking water,Safely managed service,43.5594605944,world,World,rural,1456110133.768000
2007,Drinking water,Safely managed service,86.0731149206,world,World,urban,2895162527.022100
2007,Drinking water,Surface water,3.3034872368,world,World,total,221545684.8097580
2007,Drinking water,Surface water,6.1337348734,world,World,rural,205039120.89655600
2007,Drinking water,Surface water,0.4907399225,world,World,urban,16506569.274811900
2007,Drinking water,Unimproved,8.9717776708,world,World,total,601684972.7452470
2007,Drinking water,Unimproved,15.7262066584,world,World,rural,525697255.3964540
2007,Drinking water,Unimproved,2.2591125133,world,World,urban,75987698.3523402
2008,Sanitation,Basic service,29.4718178184,world,World,total,2001069000.2376500
2008,Sanitation,Basic service,16.3219744785,world,World,rural,546794107.6509350
2008,Sanitation,Basic service,42.2788440964,world,World,urban,1454274893.6216600
2008,Sanitation,Limited service,6.9923409194,world,World,total,474763950.3990470
2008,Sanitation,Limited service,5.6567679403,world,World,rural,189504485.63555200
2008,Sanitation,Limited service,8.2930954407,world,World,urban,285259465.9948420
2008,Sanitation,Open defecation,15.5031831054,world,World,total,1052630662.5665800
2008,Sanitation,Open defecation,28.0176292252,world,World,rural,938604247.3518130
2008,Sanitation,Open defecation,3.31498916,world,World,urban,114026426.47996200
2008,Sanitation,Safely managed service,34.8508283398,world,World,total,2366291507.809130
2008,Sanitation,Safely managed service,29.9191125234,world,World,rural,1002304865.4738400
2008,Sanitation,Safely managed service,39.6539740548,world,World,urban,1363986649.4157700
2008,Sanitation,Unimproved,13.1818298169,world,World,total,895016085.3850930
2008,Sanitation,Unimproved,20.0845158326,world,World,rural,672841078.5566210
2008,Sanitation,Unimproved,6.4590972482,world,World,urban,222175018.36380200
2008,Drinking water,Basic service,20.2464220601,world,World,total,1374685735.3637600
2008,Drinking water,Basic service,30.9528573731,world,World,rural,1036935822.2477900
2008,Drinking water,Basic service,9.8191039902,world,World,urban,337749924.7200090
2008,Drinking water,Limited service,2.7776076587,world,World,total,188593205.03729300
2008,Drinking water,Limited service,4.1134819111,world,World,rural,137803650.77037500
2008,Drinking water,Limited service,1.476559707,world,World,urban,50789555.78651430
2008,Drinking water,Safely managed service,65.1986286396,world,World,total,4426837714.342030
2008,Drinking water,Safely managed service,43.8296012299,world,World,rural,1468313023.3274300
2008,Drinking water,Safely managed service,86.01056443440000,world,World,urban,2958524697.5526100
2008,Drinking water,Surface water,3.1494843848,world,World,total,213842783.9093500
2008,Drinking water,Surface water,5.8936258613,world,World,rural,197439341.5394050
2008,Drinking water,Surface water,0.4768828006,world,World,urban,16403444.770894600
2008,Drinking water,Unimproved,8.6278572568,world,World,total,585811767.75187
2008,Drinking water,Unimproved,15.2104336246,world,World,rural,509556946.7837610
2008,Drinking water,Unimproved,2.2168890678,world,World,urban,76254831.04256330
2009,Sanitation,Basic service,29.4340898793,world,World,total,2023223110.4122100
2009,Sanitation,Basic service,16.4354574214,world,World,rural,551723085.8890970
2009,Sanitation,Basic service,41.8416158474,world,World,urban,1471500030.6462400
2009,Sanitation,Limited service,7.1601485027,world,World,total,492170064.8483080
2009,Sanitation,Limited service,5.8890303195,world,World,rural,197689294.3994640
2009,Sanitation,Limited service,8.3734631886,world,World,urban,294480772.05186900
2009,Sanitation,Open defecation,14.7473592181,world,World,total,1013695280.1993700
2009,Sanitation,Open defecation,26.9406477973,world,World,rural,904372598.673408
2009,Sanitation,Open defecation,3.1085543493,world,World,urban,109322685.74290000
2009,Sanitation,Safely managed service,35.9484867849,world,World,total,2471005882.832050
2009,Sanitation,Safely managed service,31.2133192722,world,World,rural,1047802223.4584600
2009,Sanitation,Safely managed service,40.4683247633,world,World,urban,1423203667.529930
2009,Sanitation,Unimproved,12.709915615,world,World,total,873646683.4580640
2009,Sanitation,Unimproved,19.5215451896,world,World,rural,655320194.4538350
2009,Sanitation,Unimproved,6.2080418513,world,World,urban,218326505.5479150
