country,year,gini,gdp,basic,safe,region
France,2000,31.1,22364,99.9,96.8,Europe and Northern America
France,2003,31.4,29568.4,99.9,96.8,Europe and Northern America
France,2004,30.6,33741.3,99.9,96.9,Europe and Northern America
France,2005,29.8,34760.2,99.9,97,Europe and Northern America
France,2006,29.7,36443.6,99.9,97,Europe and Northern America
France,2007,32.4,41508.4,100,97.1,Europe and Northern America
France,2008,33,45334.1,100,97.2,Europe and Northern America
France,2009,32.7,41575.4,100,97.3,Europe and Northern America
France,2010,33.7,40638.3,100,97.3,Europe and Northern America
France,2011,33.3,43790.7,100,97.4,Europe and Northern America
France,2012,33.1,40874.7,100,97.5,Europe and Northern America
France,2013,32.5,42592.9,100,97.6,Europe and Northern America
France,2014,32.3,43011.3,100,97.6,Europe and Northern America
France,2015,32.7,36638.2,100,97.7,Europe and Northern America
France,2016,31.9,37037.4,100,97.8,Europe and Northern America
France,2017,31.6,38812.2,100,97.9,Europe and Northern America
Germany,2000,28.8,23635.9,100,99.8,Europe and Northern America
Germany,2001,30.3,23607.9,100,99.8,Europe and Northern America
Germany,2002,29.9,25077.7,100,99.8,Europe and Northern America
Germany,2003,30,30243.6,100,99.8,Europe and Northern America
Germany,2004,30.4,34044.1,100,99.8,Europe and Northern America
Germany,2005,32.1,34507.4,100,99.8,Europe and Northern America
Germany,2006,31.3,36323.4,100,99.8,Europe and Northern America
Germany,2007,31.3,41587.2,100,99.8,Europe and Northern America
Germany,2008,31.1,45427.2,100,99.8,Europe and Northern America
Germany,2009,30.5,41485.9,100,99.8,Europe and Northern America
Germany,2010,30.2,41531.9,100,99.8,Europe and Northern America
Germany,2011,30.5,46644.8,100,99.8,Europe and Northern America
Germany,2012,30.9,43858.4,100,99.8,Europe and Northern America
Germany,2013,31.1,46285.8,100,99.8,Europe and Northern America
Germany,2014,30.9,47960,100,99.8,Europe and Northern America
Germany,2015,31.7,41086.7,100,99.8,Europe and Northern America
Germany,2016,31.9,42107.5,100,99.8,Europe and Northern America
Italy,2000,35.3,20087.6,100,86.5,Europe and Northern America
Italy,2003,34.9,27465.7,99.9,88.1,Europe and Northern America
Italy,2004,34.3,31259.7,99.9,88.7,Europe and Northern America
Italy,2005,33.8,32043.1,99.9,89.2,Europe and Northern America
Italy,2006,33.7,33501.7,99.8,89.7,Europe and Northern America
Italy,2007,32.9,37822.7,99.8,90.2,Europe and Northern America
Italy,2008,33.8,40778.3,99.7,90.8,Europe and Northern America
Italy,2009,33.8,37079.8,99.7,91.3,Europe and Northern America
Italy,2010,34.7,36000.5,99.6,91.8,Europe and Northern America
Italy,2011,35.1,38599.1,99.6,92.3,Europe and Northern America
Italy,2012,35.2,35053.5,99.5,92.9,Europe and Northern America
Italy,2013,34.9,35550,99.5,93.4,Europe and Northern America
Italy,2014,34.7,35518.4,99.4,93.9,Europe and Northern America
Italy,2015,35.4,30230.2,99.4,94.5,Europe and Northern America
Italy,2016,35.2,30939.7,99.4,95,Europe and Northern America
Italy,2017,35.9,32406.7,99.4,95,Europe and Northern America
Japan,2008,34.8,39339.3,98.6,98,Eastern and South-Eastern Asia
Japan,2010,32.1,44507.7,98.7,98.1,Eastern and South-Eastern Asia
Japan,2013,32.9,40454.4,98.8,98.3,Eastern and South-Eastern Asia
"Korea, Rep.",2006,31.7,21743.5,98.6,96.8,Eastern and South-Eastern Asia
"Korea, Rep.",2008,32.3,21350.4,98.8,97.3,Eastern and South-Eastern Asia
"Korea, Rep.",2010,32,23087.2,99,97.7,Eastern and South-Eastern Asia
"Korea, Rep.",2012,31.6,25466.8,99.2,98,Eastern and South-Eastern Asia
"Korea, Rep.",2014,31.2,29249.6,99.5,98,Eastern and South-Eastern Asia
"Korea, Rep.",2016,31.4,29288.9,99.7,98.1,Eastern and South-Eastern Asia
Mexico,2000,52.6,7157.8,89,38.9,Latin America and the Caribbean
Mexico,2002,50.1,7593.1,90.5,39.4,Latin America and the Caribbean
Mexico,2004,50,7484.5,91.9,39.9,Latin America and the Caribbean
Mexico,2005,50.1,8277.7,92.6,40.1,Latin America and the Caribbean
Mexico,2006,48.9,9068.3,93.3,40.4,Latin America and the Caribbean
Mexico,2008,49.9,10016.6,94.7,40.9,Latin America and the Caribbean
Mexico,2010,47.2,9271.4,95.8,41.3,Latin America and the Caribbean
Mexico,2012,48.7,10241.7,96.8,41.8,Latin America and the Caribbean
Mexico,2014,48.7,10928.9,97.9,42.2,Latin America and the Caribbean
Mexico,2016,46.3,8744.5,98.9,42.7,Latin America and the Caribbean
Netherlands,2004,29.8,40362.4,100,100,Europe and Northern America
Netherlands,2005,29,41979.1,100,100,Europe and Northern America
Netherlands,2006,30,44863.4,100,100,Europe and Northern America
Netherlands,2007,29.6,51733.4,100,100,Europe and Northern America
Netherlands,2008,29.3,57644.5,100,100,Europe and Northern America
Netherlands,2009,27.9,52514,100,100,Europe and Northern America
Netherlands,2010,27.8,50950,100,100,Europe and Northern America
Netherlands,2011,27.8,54159.3,100,100,Europe and Northern America
Netherlands,2012,27.6,50073,100,100,Europe and Northern America
Netherlands,2013,28.1,52184.1,100,100,Europe and Northern America
Netherlands,2014,28.6,52830.2,100,100,Europe and Northern America
Netherlands,2015,28.2,45175.2,100,100,Europe and Northern America
Netherlands,2016,28.2,46007.9,100,100,Europe and Northern America
Netherlands,2017,28.5,48675.2,100,100,Europe and Northern America
Russian Federation,2000,37.1,1771.6,95,74.6,Europe and Northern America
Russian Federation,2001,36.9,2100.4,95,74.6,Europe and Northern America
Russian Federation,2002,37.3,2377.5,95.2,74.6,Europe and Northern America
Russian Federation,2003,40,2975.1,95.3,74.7,Europe and Northern America
Russian Federation,2004,40.3,4102.4,95.4,74.8,Europe and Northern America
Russian Federation,2005,41.3,5323.5,95.5,74.9,Europe and Northern America
Russian Federation,2006,41,6920.2,95.7,75,Europe and Northern America
Russian Federation,2007,42.3,9101.3,95.8,75.1,Europe and Northern America
Russian Federation,2008,41.6,11635.3,95.9,75.2,Europe and Northern America
Russian Federation,2009,39.8,8562.8,96.1,75.3,Europe and Northern America
Russian Federation,2010,39.5,10675,96.2,75.3,Europe and Northern America
Russian Federation,2011,39.7,14311.1,96.3,75.4,Europe and Northern America
Russian Federation,2012,40.7,15420.9,96.4,75.5,Europe and Northern America
Russian Federation,2013,40.9,15974.6,96.6,75.6,Europe and Northern America
Russian Federation,2014,39.9,14095.6,96.7,75.7,Europe and Northern America
Russian Federation,2015,37.7,9313,96.8,75.8,Europe and Northern America
Russian Federation,2016,36.8,8704.9,97,75.9,Europe and Northern America
Russian Federation,2017,37.2,10720.3,97.1,76,Europe and Northern America
Spain,2000,34.3,14713.1,100,98.8,Europe and Northern America
Spain,2003,31.8,21463.4,100,98.8,Europe and Northern America
Spain,2004,33.3,24861.3,100,98.8,Europe and Northern America
Spain,2005,32.4,26419.3,100,98.7,Europe and Northern America
Spain,2006,33.5,28365.3,100,98.7,Europe and Northern America
Spain,2007,34.1,32550,100,98.7,Europe and Northern America
Spain,2008,34.2,35366.3,100,98.7,Europe and Northern America
Spain,2009,34.9,32042.5,100,98.7,Europe and Northern America
Spain,2010,35.2,30502.7,100,98.6,Europe and Northern America
Spain,2011,35.7,31636.4,100,98.6,Europe and Northern America
Spain,2012,35.4,28324.4,100,98.6,Europe and Northern America
Spain,2013,36.2,29059.5,100,98.5,Europe and Northern America
Spain,2014,36.1,29461.6,99.9,98.5,Europe and Northern America
Spain,2015,36.2,25732,99.9,98.5,Europe and Northern America
Spain,2016,35.8,26505.3,99.9,98.5,Europe and Northern America
Spain,2017,34.7,28170.2,99.9,98.4,Europe and Northern America
Switzerland,2000,33.4,37868.3,100,92.8,Europe and Northern America
Switzerland,2002,31.7,41376.4,100,92.8,Europe and Northern America
Switzerland,2006,33.9,57579.5,100,93.5,Europe and Northern America
Switzerland,2007,34.3,63555.2,100,93.8,Europe and Northern America
Switzerland,2008,33.8,72487.8,100,94,Europe and Northern America
Switzerland,2009,32.9,69927.5,100,94.3,Europe and Northern America
Switzerland,2010,32.6,74605.7,100,94.5,Europe and Northern America
Switzerland,2011,31.7,88415.6,100,94.7,Europe and Northern America
Switzerland,2012,31.6,83538.2,100,95,Europe and Northern America
Switzerland,2013,32.5,85112.5,100,95.2,Europe and Northern America
Switzerland,2014,32.5,86605.6,100,95.5,Europe and Northern America
Switzerland,2015,32.3,82081.6,100,95.5,Europe and Northern America
Switzerland,2016,33,80172.2,100,95.5,Europe and Northern America
Switzerland,2017,32.7,80450,100,95.5,Europe and Northern America
United Kingdom,2000,38.4,28149.9,100,100,Europe and Northern America
United Kingdom,2001,37.3,27744.5,100,100,Europe and Northern America
United Kingdom,2002,35.1,30056.6,100,100,Europe and Northern America
United Kingdom,2003,35.1,34419.1,100,100,Europe and Northern America
United Kingdom,2004,36,40290.3,100,100,Europe and Northern America
United Kingdom,2005,34.3,42030.3,100,100,Europe and Northern America
United Kingdom,2006,34.6,44599.7,100,100,Europe and Northern America
United Kingdom,2007,35.7,50566.8,100,100,Europe and Northern America
United Kingdom,2008,34.1,47287,100,100,Europe and Northern America
United Kingdom,2009,34.3,38713.1,100,100,Europe and Northern America
United Kingdom,2010,34.4,39435.8,100,100,Europe and Northern America
United Kingdom,2011,33.2,42038.6,100,100,Europe and Northern America
United Kingdom,2012,32.3,42462.8,100,100,Europe and Northern America
United Kingdom,2013,33.2,43444.5,100,100,Europe and Northern America
United Kingdom,2014,34,47425.6,100,100,Europe and Northern America
United Kingdom,2015,33.2,44974.8,100,100,Europe and Northern America
United Kingdom,2016,34.8,41064.1,100,100,Europe and Northern America
United Kingdom,2017,35.1,40361.4,100,100,Europe and Northern America
United States,2005,41,44114.7,99.2,98.9,Europe and Northern America
United States,2006,41.4,46298.7,99.2,98.9,Europe and Northern America
United States,2007,40.8,47976,99.2,99,Europe and Northern America
United States,2008,40.8,48382.6,99.2,99,Europe and Northern America
United States,2009,40.6,47100,99.2,99,Europe and Northern America
United States,2010,40,48467.5,99.2,99,Europe and Northern America
United States,2011,40.9,49886.8,99.2,99,Europe and Northern America
United States,2012,40.9,51610.6,99.2,99,Europe and Northern America
United States,2013,40.7,53117.7,99.2,99,Europe and Northern America
United States,2014,41.5,55064.7,99.3,99,Europe and Northern America
United States,2015,41.2,56839.4,99.3,99,Europe and Northern America
United States,2016,41.1,57951.6,99.3,99,Europe and Northern America
United States,2017,41.2,60062.2,99.3,99,Europe and Northern America
Armenia,2001,35.4,694.4,95.4,29.7,Northern Africa and Western Asia
Armenia,2002,34.8,783.2,95.7,33.3,Northern Africa and Western Asia
Armenia,2003,33,930.1,96,36.8,Northern Africa and Western Asia
Armenia,2004,37.5,1191.9,96.3,40.4,Northern Africa and Western Asia
Armenia,2005,36,1643.8,96.7,43.9,Northern Africa and Western Asia
Armenia,2006,29.7,2158.1,97,47.5,Northern Africa and Western Asia
Armenia,2007,31.2,3139.3,97.3,51,Northern Africa and Western Asia
Armenia,2008,29.2,4010.9,97.6,54.6,Northern Africa and Western Asia
Armenia,2009,28,2994.3,97.9,58.1,Northern Africa and Western Asia
Armenia,2010,30,3218.4,98.3,61.7,Northern Africa and Western Asia
Armenia,2011,29.4,3525.8,98.6,65.3,Northern Africa and Western Asia
Armenia,2012,29.6,3681.9,98.9,68.8,Northern Africa and Western Asia
Armenia,2013,30.6,3838.2,99.3,72.4,Northern Africa and Western Asia
Armenia,2014,31.5,3986.2,99.6,76,Northern Africa and Western Asia
Armenia,2015,32.4,3607.3,99.7,79.4,Northern Africa and Western Asia
Armenia,2016,32.5,3591.8,99.9,83,Northern Africa and Western Asia
Armenia,2017,33.6,3914.5,99.9,86.5,Northern Africa and Western Asia
Belgium,2000,33.1,23041.5,100,99.5,Europe and Northern America
Belgium,2003,28.1,30587.7,100,99.5,Europe and Northern America
Belgium,2004,30.5,35364.4,100,99.5,Europe and Northern America
Belgium,2005,29.3,36796,100,99.5,Europe and Northern America
Belgium,2006,28.1,38672.7,100,99.5,Europe and Northern America
Belgium,2007,29.2,44262.9,100,99.5,Europe and Northern America
Belgium,2008,28.4,48106.9,100,99.5,Europe and Northern America
Belgium,2009,28.6,44583.5,100,99.5,Europe and Northern America
Belgium,2010,28.4,44141.9,100,99.5,Europe and Northern America
Belgium,2011,28.1,47348.5,100,99.5,Europe and Northern America
Belgium,2012,27.5,44673.1,100,99.5,Europe and Northern America
Belgium,2013,27.7,46744.7,100,99.5,Europe and Northern America
Belgium,2014,28.1,47700.5,100,99.5,Europe and Northern America
Belgium,2015,27.7,40991.8,100,99.5,Europe and Northern America
Belgium,2016,27.6,41984.1,100,99.5,Europe and Northern America
Belgium,2017,27.4,44192.6,100,99.5,Europe and Northern America
Bulgaria,2006,35.7,4523.1,99.6,96.7,Europe and Northern America
Bulgaria,2007,36.1,5885.1,99.5,96.6,Europe and Northern America
Bulgaria,2008,33.6,7265.7,99.5,96.6,Europe and Northern America
Bulgaria,2009,33.8,6988.2,99.4,96.7,Europe and Northern America
Bulgaria,2010,35.7,6812.4,99.4,96.8,Europe and Northern America
Bulgaria,2011,34.3,7809.4,99.4,97,Europe and Northern America
Bulgaria,2012,36,7395.8,99.3,97.1,Europe and Northern America
Bulgaria,2013,36.6,7655.1,99.3,97,Europe and Northern America
Bulgaria,2014,37.4,7876.9,99.2,97,Europe and Northern America
Bulgaria,2015,38.6,7055.9,99.2,97,Europe and Northern America
Bulgaria,2016,40.6,7548.9,99.1,97,Europe and Northern America
Bulgaria,2017,40.4,8334.1,99.1,96.9,Europe and Northern America
Cyprus,2004,30.1,23792.6,99.9,95.8,Northern Africa and Western Asia
Cyprus,2005,30.3,24959.3,99.9,96.3,Northern Africa and Western Asia
Cyprus,2006,31.1,26729.3,99.9,96.7,Northern Africa and Western Asia
Cyprus,2007,31.1,31244.9,99.9,97.2,Northern Africa and Western Asia
Cyprus,2008,31.7,35397.4,99.8,97.6,Northern Africa and Western Asia
Cyprus,2009,32.1,32109.2,99.8,98.1,Northern Africa and Western Asia
Cyprus,2010,31.5,31023.6,99.8,98.5,Northern Africa and Western Asia
Cyprus,2011,32.6,32396.4,99.7,99,Northern Africa and Western Asia
Cyprus,2012,34.3,28912.2,99.7,99.5,Northern Africa and Western Asia
Cyprus,2013,37,27729.2,99.7,99.7,Northern Africa and Western Asia
Cyprus,2014,35.6,27129.6,99.6,99.6,Northern Africa and Western Asia
Cyprus,2015,34,23333.7,99.6,99.6,Northern Africa and Western Asia
Cyprus,2016,32.9,24532.5,99.6,99.6,Northern Africa and Western Asia
Cyprus,2017,31.4,26338.7,99.6,99.6,Northern Africa and Western Asia
Albania,2002,31.7,1425.1,87.9,49.1,Europe and Northern America
Albania,2005,30.6,2673.8,87.9,52.6,Europe and Northern America
Albania,2008,30,4370.5,87.9,58.1,Europe and Northern America
Albania,2012,29,4247.6,87.9,65.9,Europe and Northern America
Albania,2014,34.6,4578.6,91,69.9,Europe and Northern America
Albania,2015,32.9,3952.8,91,69.9,Europe and Northern America
Albania,2016,33.7,4124.1,91,70,Europe and Northern America
Albania,2017,33.2,4531,91,70,Europe and Northern America
Austria,2000,28.8,24564.5,100,97.7,Europe and Northern America
Austria,2003,29.5,32222.9,100,98,Europe and Northern America
Austria,2004,29.8,36821.5,100,98,Europe and Northern America
Austria,2005,28.7,38403.1,100,98.1,Europe and Northern America
Austria,2006,29.6,40635.3,100,98.2,Europe and Northern America
Austria,2007,30.6,46855.8,100,98.3,Europe and Northern America
Austria,2008,30.4,51708.8,100,98.4,Europe and Northern America
Austria,2009,31.5,47963.2,100,98.5,Europe and Northern America
Austria,2010,30.3,46858,100,98.5,Europe and Northern America
Austria,2011,30.8,51375,100,98.6,Europe and Northern America
Austria,2012,30.5,48567.7,100,98.7,Europe and Northern America
Austria,2013,30.8,50716.7,100,98.8,Europe and Northern America
Austria,2014,30.5,51717.5,100,98.9,Europe and Northern America
Austria,2015,30.5,44178,100,98.9,Europe and Northern America
Austria,2016,30.8,45276.8,100,98.9,Europe and Northern America
Austria,2017,29.7,47426.5,100,98.9,Europe and Northern America
Azerbaijan,2001,36.5,703.7,74.8,50.1,Northern Africa and Western Asia
Azerbaijan,2002,25.3,763.1,76.3,50.6,Northern Africa and Western Asia
Azerbaijan,2003,26.8,883.6,77.7,51,Northern Africa and Western Asia
Azerbaijan,2004,26.6,1045,79.2,53.5,Northern Africa and Western Asia
Azerbaijan,2005,26.6,1578.4,80.7,55.9,Northern Africa and Western Asia
Bangladesh,2000,33.4,418.1,95.2,55.9,Central and Southern Asia
Bangladesh,2005,33.2,499.5,96,55.9,Central and Southern Asia
Bangladesh,2010,32.1,781.2,96.5,55.7,Central and Southern Asia
Bangladesh,2016,32.4,1401.6,96.9,55.5,Central and Southern Asia
Belarus,2000,31.2,1276.3,99.3,80.6,Europe and Northern America
Belarus,2001,30.6,1244.4,99.3,80.8,Europe and Northern America
Belarus,2002,30.3,1479.3,99.3,81,Europe and Northern America
Belarus,2003,28.8,1819.8,99.3,81.2,Europe and Northern America
Belarus,2004,26.5,2378.6,99.1,82.5,Europe and Northern America
Belarus,2005,27.6,3125.8,98.8,83.9,Europe and Northern America
Belarus,2006,28.3,3847.4,98.6,85.2,Europe and Northern America
Belarus,2007,29.6,4735.7,98.3,86.4,Europe and Northern America
Belarus,2008,27.8,6377.4,98.1,87.7,Europe and Northern America
Belarus,2009,27.7,5351.4,97.8,88.9,Europe and Northern America
Belarus,2010,28.6,6029.4,97.5,90.1,Europe and Northern America
Belarus,2011,27.2,6519.2,97.3,91.2,Europe and Northern America
Belarus,2012,26.5,6940.2,97,92.3,Europe and Northern America
Belarus,2013,26.6,7978.9,96.7,93.4,Europe and Northern America
Belarus,2014,27.2,8318.5,96.5,94.4,Europe and Northern America
Belarus,2015,25.6,5949.1,96.5,94.5,Europe and Northern America
Belarus,2016,25.3,5022.6,96.5,94.5,Europe and Northern America
Belarus,2017,25.4,5761.7,96.5,94.5,Europe and Northern America
Bhutan,2003,40.9,962.1,86.1,30.3,Central and Southern Asia
Bhutan,2007,38.1,1757.2,90,32.3,Central and Southern Asia
Bhutan,2012,38.8,2538.9,94.4,34.5,Central and Southern Asia
Bhutan,2017,37.4,3286.6,97.2,36.2,Central and Southern Asia
Bosnia and Herzegovina,2001,30,1530.8,97.2,87.5,Europe and Northern America
Bosnia and Herzegovina,2004,34,2815,97.1,87.8,Europe and Northern America
Bosnia and Herzegovina,2007,33.1,4193.4,96.9,88.2,Europe and Northern America
Bosnia and Herzegovina,2011,33,5092.6,96.6,88.7,Europe and Northern America
Croatia,2009,32.6,14540.6,99.2,93,Europe and Northern America
Croatia,2010,32.4,13949.3,99.3,92.6,Europe and Northern America
Croatia,2011,32.3,14609.5,99.3,92.2,Europe and Northern America
Croatia,2012,32.5,13258.4,99.4,91.8,Europe and Northern America
Croatia,2013,32,13674.4,99.5,91.4,Europe and Northern America
Croatia,2014,32.1,13599.4,99.6,90.9,Europe and Northern America
